Liste;Champ interne;Nom affiché;Type;Obligatoire;Rôle
Projets;Title;Nom_Projet;Texte;Oui;Nom du projet
Projets;ID_Projet;ID_Projet;Texte;Non;ID PROJ
Projets;Relation_Associee;Relation_Associee;Recherche/texte;Oui;Relation liée
Projets;Site_Associe;Site_Associe;Recherche/texte;Non;Site lié si applicable
Projets;Type_Projet;Type_Projet;Choix;Oui;Type projet
Projets;Statut;Statut;Choix;Oui;Statut projet
Projets;Priorite;Priorite;Choix;Oui;Priorité
Projets;Responsable;Responsable;Personne ou texte;Non;Responsable
Projets;Date_Cible;Date_Cible;Date;Non;Date cible
Projets;Journal;Journal;Texte long;Non;Historique
Medias;Title;Nom_Media;Texte;Oui;Nom média
Medias;ID_Media;ID_Media;Texte;Non;ID MED
Medias;Relation_Associee;Relation_Associee;Recherche/texte;Non;Relation liée
Medias;Projet_Associe;Projet_Associe;Recherche/texte;Non;Projet lié
Medias;Type_Media;Type_Media;Choix;Oui;Type média
Medias;Version;Version;Texte;Non;Version du média
Medias;Statut;Statut;Choix;Oui;Préparation, Validé, Archivé
Documents;Title;Nom_Document;Texte;Oui;Nom document
Documents;ID_Document;ID_Document;Texte;Non;ID DOC
Documents;Relation_Associee;Relation_Associee;Recherche/texte;Non;Relation liée
Documents;Projet_Associe;Projet_Associe;Recherche/texte;Non;Projet lié
Documents;Type_Document;Type_Document;Choix;Oui;Type document
Documents;Version;Version;Texte;Non;Version
Documents;Statut;Statut;Choix;Oui;Préparation, Validé, Archivé
