Liste;Champ_interne;Nom_affiche;Type;Obligatoire;Choix
Relations;Title;Nom_Relation;Text;true;
Relations;ID_Relation;ID_Relation;Text;false;
Relations;Type_Relation;Type_Relation;Choice;true;Prospect|Client|Association|Partenaire|Fournisseur|Administration|Interne|Autre
Relations;Contact_Principal;Contact_Principal;Text;true;
Relations;Telephone;Telephone;Text;true;
Relations;Email;Email;Text;true;
Relations;Code_Postal;Code_Postal;Text;true;
Relations;Ville;Ville;Text;true;
Relations;Pays;Pays;Choice;true;France|Belgique|Luxembourg|Suisse|Autre
Relations;Responsable_Interne;Responsable_Interne;Text;true;
Relations;Statut;Statut;Choice;true;Prospect|Actif|En pause|Suspendu|Archivé
Relations;Adresse;Adresse;Text;false;
Relations;Site_Internet;Site_Internet;URL;false;
Relations;Domaine_Principal;Domaine_Principal;Text;false;
Relations;Compte_Microsoft_365;Compte_Microsoft_365;Choice;false;Oui|Non|À vérifier
Relations;Logo_Officiel;Logo_Officiel;Text;false;
Relations;Score_Completude;Score_Completude;Number;false;
Relations;Controle_Doublon;Controle_Doublon;Choice;false;À vérifier|OK|Doublon possible|Doublon confirmé
Relations;Journal;Journal;Note;false;
Clients;Title;Nom_Client;Text;true;
Clients;ID_Client;ID_Client;Text;false;
Clients;Relation_Associee;Relation_Associee;Text;true;
Clients;Type_Client;Type_Client;Choice;true;Prospect|Client|Association|Partenaire|Interne
Clients;Contact_Principal;Contact_Principal;Text;true;
Clients;Telephone;Telephone;Text;true;
Clients;Email;Email;Text;true;
Clients;Code_Postal;Code_Postal;Text;true;
Clients;Ville;Ville;Text;true;
Clients;Pays;Pays;Choice;true;France|Belgique|Luxembourg|Suisse|Autre
Clients;Responsable_Interne;Responsable_Interne;Text;true;
Clients;Statut;Statut;Choice;true;Prospect|Actif|En pause|Archivé
Clients;Score_Completude;Score_Completude;Number;false;
Clients;Journal;Journal;Note;false;
Projets;Title;Nom_Projet;Text;true;
Projets;ID_Projet;ID_Projet;Text;false;
Projets;Client_Associe;Client_Associe;Text;true;
Projets;Type_Projet;Type_Projet;Choice;true;Site internet|Affiche|Identité visuelle|Publipostage|Microsoft 365|SharePoint|Teams|Développement|Marketing|Autre
Projets;Responsable_Principal;Responsable_Principal;Text;true;
Projets;Statut;Statut;Choice;true;Brouillon|Préparation|En cours|En attente|Validé|Terminé|Suspendu|Archivé
Projets;Date_Cible;Date_Cible;DateTime;false;
Projets;Priorite;Priorite;Choice;false;Basse|Normale|Haute|Urgente
Projets;Budget;Budget;Number;false;
Projets;Description;Description;Note;false;
Projets;Score_Completude;Score_Completude;Number;false;
Projets;Journal;Journal;Note;false;
Sites;Title;Nom_Site;Text;true;
Sites;ID_Site;ID_Site;Text;false;
Sites;Client_Proprietaire;Client_Proprietaire;Text;true;
Sites;Projet_Principal_Associe;Projet_Principal_Associe;Text;true;
Sites;Type_Site;Type_Site;Choice;true;Site vitrine|Boutique e-commerce|Blog|Portail client|Association|Intranet|Application web|Autre
Sites;Responsable_Principal;Responsable_Principal;Text;true;
Sites;Statut;Statut;Choice;true;Brouillon|Construction|Test|Actif|Maintenance|Suspendu|Archivé
Sites;Domaine_Principal;Domaine_Principal;Text;false;
Sites;Version_Site;Version_Site;Text;false;
Sites;Score_Completude;Score_Completude;Number;false;
Sites;Journal;Journal;Note;false;
Domaines;Title;Nom_Domaine;Text;true;
Domaines;ID_Domaine;ID_Domaine;Text;false;
Domaines;Site_Associe;Site_Associe;Text;true;
Domaines;Type_Domaine;Type_Domaine;Choice;true;Domaine principal|Domaine alias|Domaine de redirection|Domaine technique
Domaines;Statut;Statut;Choice;true;Disponible|Réservé|Actif|Expiré|Suspendu|En transfert|Archivé
Domaines;Responsable_Principal;Responsable_Principal;Text;true;
Domaines;Registrar;Registrar;Text;false;
Domaines;Date_Expiration;Date_Expiration;DateTime;false;
Domaines;DNS_Configures;DNS_Configures;Choice;false;Oui|Non|À vérifier
Domaines;Certificat_SSL;Certificat_SSL;Choice;false;Oui|Non|À vérifier
Domaines;Score_Completude;Score_Completude;Number;false;
Domaines;Journal;Journal;Note;false;
Pages;Title;Titre_Page;Text;true;
Pages;ID_Page;ID_Page;Text;false;
Pages;Site_Associe;Site_Associe;Text;true;
Pages;Type_Page;Type_Page;Choice;true;Accueil|Contenu|Contact|Catalogue|Produit|Blog|Mentions légales|Politique de confidentialité|Page système|Autre
Pages;Responsable_Principal;Responsable_Principal;Text;true;
Pages;Statut;Statut;Choice;true;Brouillon|Préparation|En cours|Prête à valider|Publiée|Suspendue|Archivée
Pages;Slug_URL;Slug_URL;Text;false;
Pages;SEO_Titre;SEO_Titre;Text;false;
Pages;SEO_Description;SEO_Description;Note;false;
Pages;Score_Completude;Score_Completude;Number;false;
Pages;Journal;Journal;Note;false;
Medias;Title;Nom_Media;Text;true;
Medias;ID_Media;ID_Media;Text;false;
Medias;Type_Media;Type_Media;Choice;true;Image|Logo|Photo|Bannière|Vidéo|Audio|Document|PDF|ZIP|Autre
Medias;Client_Proprietaire;Client_Proprietaire;Text;true;
Medias;Statut;Statut;Choice;true;Brouillon|À valider|Validé|Actif|Suspendu|Archivé|Corbeille
Medias;Projet_Associe;Projet_Associe;Text;false;
Medias;Site_Associe;Site_Associe;Text;false;
Medias;Licence;Licence;Text;false;
Medias;Auteur;Auteur;Text;false;
Medias;Source;Source;Text;false;
Medias;Version;Version;Text;false;
Medias;Nombre_Utilisations;Nombre_Utilisations;Number;false;
Medias;Score_Completude;Score_Completude;Number;false;
Medias;Journal;Journal;Note;false;
Documents;Title;Nom_Document;Text;true;
Documents;ID_Document;ID_Document;Text;false;
Documents;Type_Document;Type_Document;Choice;true;Word|Excel|PDF|Image|Vidéo|Audio|ZIP|Présentation|Procédure|Devis|Facture|Contrat|Autre
Documents;Rattachement_Principal;Rattachement_Principal;Text;true;
Documents;Responsable_Principal;Responsable_Principal;Text;true;
Documents;Statut;Statut;Choice;true;Brouillon|À valider|Validé|Actif|Suspendu|Archivé|Corbeille
Documents;Version;Version;Text;false;
Documents;Niveau_Confidentialite;Niveau_Confidentialite;Choice;false;Interne|Client|Confidentiel|Public
Documents;Score_Completude;Score_Completude;Number;false;
Documents;Journal;Journal;Note;false;
Utilisateurs;Title;Nom_Complet;Text;true;
Utilisateurs;ID_Utilisateur;ID_Utilisateur;Text;false;
Utilisateurs;Nom;Nom;Text;true;
Utilisateurs;Prenom;Prenom;Text;true;
Utilisateurs;Email_Principal;Email_Principal;Text;true;
Utilisateurs;Type_Compte;Type_Compte;Choice;true;Microsoft 365|Compte DemainSite|Compte invité|À déterminer
Utilisateurs;Role_Principal;Role_Principal;Choice;true;Super Administrateur|Administrateur|Collaborateur|Client|Modérateur|Lecture seule
Utilisateurs;Statut;Statut;Choice;true;Invité|Actif|Suspendu|Archivé
Utilisateurs;Telephone;Telephone;Text;false;
Utilisateurs;Ville;Ville;Text;false;
Utilisateurs;Pays;Pays;Text;false;
Utilisateurs;Client_Principal_Associe;Client_Principal_Associe;Text;false;
Utilisateurs;Score_Completude;Score_Completude;Number;false;
Utilisateurs;Journal;Journal;Note;false;
Equipes_Teams;Title;Nom_Equipe_Teams;Text;true;
Equipes_Teams;ID_Equipe_Teams;ID_Equipe_Teams;Text;false;
Equipes_Teams;Client_Associe;Client_Associe;Text;true;
Equipes_Teams;Type_Equipe;Type_Equipe;Choice;true;Interne|Client|Projet|Support|Technique|Association|Autre
Equipes_Teams;Confidentialite;Confidentialite;Choice;true;Privée|Publique
Equipes_Teams;Responsable_Principal;Responsable_Principal;Text;true;
Equipes_Teams;Statut;Statut;Choice;true;Préparation|Active|Suspendue|Archivée
Equipes_Teams;Proprietaire_Secondaire;Proprietaire_Secondaire;Text;false;
Equipes_Teams;Nombre_Canaux;Nombre_Canaux;Number;false;
Equipes_Teams;Nombre_Membres;Nombre_Membres;Number;false;
Equipes_Teams;Score_Completude;Score_Completude;Number;false;
Equipes_Teams;Journal;Journal;Note;false;
Canaux_Teams;Title;Nom_Canal;Text;true;
Canaux_Teams;ID_Canal;ID_Canal;Text;false;
Canaux_Teams;Equipe_Teams_Associee;Equipe_Teams_Associee;Text;true;
Canaux_Teams;Type_Canal;Type_Canal;Choice;true;Standard|Privé|Partagé
Canaux_Teams;Categorie_Metier;Categorie_Metier;Choice;true;Pilotage|Documentation|Communication|Projet|Client|Technique|Archives|Autre
Canaux_Teams;Responsable_Principal;Responsable_Principal;Text;true;
Canaux_Teams;Statut;Statut;Choice;true;Préparation|Actif|Suspendu|Archivé
Canaux_Teams;Client_Associe;Client_Associe;Text;false;
Canaux_Teams;Projet_Associe;Projet_Associe;Text;false;
Canaux_Teams;Site_SharePoint_Associe;Site_SharePoint_Associe;Text;false;
Canaux_Teams;Score_Completude;Score_Completude;Number;false;
Canaux_Teams;Journal;Journal;Note;false;
SharePoint;Title;Nom_Espace_SharePoint;Text;true;
SharePoint;ID_SharePoint;ID_SharePoint;Text;false;
SharePoint;Client_Associe;Client_Associe;Text;true;
SharePoint;Type_Espace;Type_Espace;Choice;true;Bibliothèque Centrale|Client|Projet|Site Internet|Documentation|Support|Archives|Autre
SharePoint;Responsable_Principal;Responsable_Principal;Text;true;
SharePoint;Statut;Statut;Choice;true;Préparation|Actif|Suspendu|Archivé
SharePoint;Equipe_Teams_Associee;Equipe_Teams_Associee;Text;false;
SharePoint;Canal_Principal_Associe;Canal_Principal_Associe;Text;false;
SharePoint;Nombre_Bibliotheques;Nombre_Bibliotheques;Number;false;
SharePoint;Nombre_Dossiers;Nombre_Dossiers;Number;false;
SharePoint;Score_Completude;Score_Completude;Number;false;
SharePoint;Journal;Journal;Note;false;
Procedures;Title;Nom_Procedure;Text;true;
Procedures;ID_Procedure;ID_Procedure;Text;false;
Procedures;Type_Procedure;Type_Procedure;Choice;true;Métier|Technique|Administration|Client|Sécurité|Automatisation|Support|Validation
Procedures;Responsable_Principal;Responsable_Principal;Text;true;
Procedures;Statut;Statut;Choice;true;Brouillon|À valider|Validée|Active|Suspendue|Archivée|Remplacée
Procedures;Version;Version;Text;true;
Procedures;Objectif;Objectif;Note;false;
Procedures;Risques;Risques;Note;false;
Procedures;Nombre_Etapes;Nombre_Etapes;Number;false;
Procedures;Score_Completude;Score_Completude;Number;false;
Procedures;Journal;Journal;Note;false;
