ID_Procedure;Nom;Version;Statut;Étape;Action;Validation Pascal;Résultat
PRC-001;Création Relation;V1.0;Active / proposée;1;Saisir relation;Oui si action sensible;Étape journalisée
PRC-001;Création Relation;V1.0;Active / proposée;2;Contrôle doublon;Oui si action sensible;Étape journalisée
PRC-001;Création Relation;V1.0;Active / proposée;3;Créer relation;Oui si action sensible;Étape journalisée
PRC-001;Création Relation;V1.0;Active / proposée;4;Créer fiche client liée;Oui si action sensible;Étape journalisée
PRC-001;Création Relation;V1.0;Active / proposée;5;Créer journal;Oui si action sensible;Étape journalisée
PRC-001;Création Relation;V1.0;Active / proposée;6;Calculer score;Oui si action sensible;Étape journalisée
PRC-002;Création Client;V1.0;Active / proposée;1;Vérifier relation;Oui si action sensible;Étape journalisée
PRC-002;Création Client;V1.0;Active / proposée;2;Créer client;Oui si action sensible;Étape journalisée
PRC-002;Création Client;V1.0;Active / proposée;3;Créer dossier client;Oui si action sensible;Étape journalisée
PRC-002;Création Client;V1.0;Active / proposée;4;Créer projet principal préparé;Oui si action sensible;Étape journalisée
PRC-002;Création Client;V1.0;Active / proposée;5;Journaliser;Oui si action sensible;Étape journalisée
PRC-003;Création Projet;V1.0;Active / proposée;1;Choisir client;Oui si action sensible;Étape journalisée
PRC-003;Création Projet;V1.0;Active / proposée;2;Contrôle doublon;Oui si action sensible;Étape journalisée
PRC-003;Création Projet;V1.0;Active / proposée;3;Créer projet;Oui si action sensible;Étape journalisée
PRC-003;Création Projet;V1.0;Active / proposée;4;Créer dossier projet;Oui si action sensible;Étape journalisée
PRC-003;Création Projet;V1.0;Active / proposée;5;Journaliser;Oui si action sensible;Étape journalisée
PRC-004;Création Site;V1.0;Active / proposée;1;Choisir client/projet;Oui si action sensible;Étape journalisée
PRC-004;Création Site;V1.0;Active / proposée;2;Contrôle doublon;Oui si action sensible;Étape journalisée
PRC-004;Création Site;V1.0;Active / proposée;3;Créer site;Oui si action sensible;Étape journalisée
PRC-004;Création Site;V1.0;Active / proposée;4;Préparer domaine;Oui si action sensible;Étape journalisée
PRC-004;Création Site;V1.0;Active / proposée;5;Journaliser;Oui si action sensible;Étape journalisée
PRC-005;Création Domaine;V1.0;Active / proposée;1;Saisir domaine;Oui si action sensible;Étape journalisée
PRC-005;Création Domaine;V1.0;Active / proposée;2;Contrôle doublon;Oui si action sensible;Étape journalisée
PRC-005;Création Domaine;V1.0;Active / proposée;3;Associer site;Oui si action sensible;Étape journalisée
PRC-005;Création Domaine;V1.0;Active / proposée;4;Préparer DNS/SSL;Oui si action sensible;Étape journalisée
PRC-005;Création Domaine;V1.0;Active / proposée;5;Journaliser;Oui si action sensible;Étape journalisée
PRC-006;Création Teams SharePoint;V1.0;Active / proposée;1;Préparer équipe;Oui si action sensible;Étape journalisée
PRC-006;Création Teams SharePoint;V1.0;Active / proposée;2;Préparer canaux;Oui si action sensible;Étape journalisée
PRC-006;Création Teams SharePoint;V1.0;Active / proposée;3;Préparer dossiers;Oui si action sensible;Étape journalisée
PRC-006;Création Teams SharePoint;V1.0;Active / proposée;4;Demander validation;Oui si action sensible;Étape journalisée
PRC-006;Création Teams SharePoint;V1.0;Active / proposée;5;Exécuter après accord;Oui si action sensible;Étape journalisée
