Objet;Champ;Valeurs officielles;Valeur par défaut
Relation;Type_Relation;Prospect|Client|Association|Collaborateur|Fournisseur|Partenaire|Interne|Autre;Prospect
Relation;Statut;Actif|En préparation|En attente|Suspendu|Archivé;En préparation
Relation;Controle_Doublon;À vérifier|OK|Doublon possible|Doublon confirmé;À vérifier
Relation;Compte_Microsoft;Oui|Non|À vérifier;À vérifier
Site;Type_Site;Site vitrine|Site boutique|Blog|Portail client|Espace association|Intranet|Autre;Site vitrine
Site;Statut;Préparation|Actif|Maintenance|Suspendu|Archivé;Préparation
Domaine;Type_Domaine;Principal|Alias|Redirection|Réservé|À vérifier;À vérifier
Domaine;Statut;À configurer|Actif|Expire bientôt|Expiré|Suspendu|Archivé;À configurer
Projet;Type_Projet;Site internet|Affiche|Identité visuelle|Publipostage|Microsoft 365|SharePoint|Teams|Développement|Marketing|Support|Autre;Autre
Projet;Statut;Brouillon|Préparation|En cours|En attente|Validé|Terminé|Suspendu|Archivé;Préparation
Projet;Priorité;Basse|Normale|Importante|Urgente;Normale
Utilisateur;Rôle_visible;Super Administrateur|Administrateur|Collaborateur|Client|Responsable client|Modérateur|Lecteur;Client
Teams;Type_Canal;Standard|Privé|Partagé;Privé
Média;Type_Média;Logo|Image|Affiche|Vidéo|Audio|Document|Galerie|Bannière|Autre;Image
Document;Type_Document;Devis|Facture|Courrier|Procédure|Contrat|Brief|Compte rendu|Autre;Autre
Pays;Pays;France|Belgique|Luxembourg|Suisse|Autre;France
