IDLST,NOMLISTE,Ancienne valeur PROPRIETAIRE,Nouvelle valeur PROPRIETAIRE
"LST-000002","DSE - Coffre Ford","","Pascal ZIMMER"
"LST-000003","OBJ","","Pascal ZIMMER"
"LST-000005","OBJ-AUDIT","","Pascal ZIMMER"
"LST-000006","OBJ-GEO-CAPITALE","","Pascal ZIMMER"
"LST-000007","OBJ-GEO-CONTINENT","","Pascal ZIMMER"
"LST-000008","OBJ-GEO-DEPARTEMENT","","Pascal ZIMMER"
"LST-000009","OBJ-GEO-DEVISE","","Pascal ZIMMER"
"LST-000010","OBJ-GEO-FUSEAU-HORAIRE","","Pascal ZIMMER"
"LST-000011","OBJ-GEO-LANGUE","","Pascal ZIMMER"
"LST-000012","OBJ-GEO-NATIONALITE","","Pascal ZIMMER"
"LST-000013","OBJ-GEO-PAYS","","Pascal ZIMMER"
"LST-000014","OBJ-GEO-REGION","","Pascal ZIMMER"
"LST-000015","OBJ-GEO-SOURCE","","Pascal ZIMMER"
"LST-000016","OBJ-GEO-STATUT","","Pascal ZIMMER"
"LST-000017","OBJ-GEO-TERRITOIRE","","Pascal ZIMMER"
"LST-000018","OBJ-GEO-VILLE","","Pascal ZIMMER"
"LST-000019","OBJ-GEO-ZONE","","Pascal ZIMMER"
"LST-000020","OBJ-JRN","","Pascal ZIMMER"
"LST-000021","OBJ-JRN-GEO","","Pascal ZIMMER"
"LST-000022","OBJ-MODULE","","Pascal ZIMMER"
"LST-000023","OBJ-ORG","","Pascal ZIMMER"
"LST-000024","OBJ-ORG-COMPTE","","Pascal ZIMMER"
"LST-000025","OBJ-ORG-CONTACT","","Pascal ZIMMER"
"LST-000026","OBJ-PWS","","Pascal ZIMMER"
"LST-000027","OBJ-REF-00","","Pascal ZIMMER"
"LST-000028","OBJ-REF-10","","Pascal ZIMMER"
"LST-000029","OBJ-REF-20","","Pascal ZIMMER"
"LST-000030","OBJ-REF-30","","Pascal ZIMMER"
"LST-000031","OBJ-REF-40","","Pascal ZIMMER"
"LST-000032","OBJ-REF-50","","Pascal ZIMMER"
"LST-000033","OBJ-REF-60","","Pascal ZIMMER"
"LST-000034","OBJ-REF-70","","Pascal ZIMMER"
"LST-000035","OBJ-REF-80","","Pascal ZIMMER"
"LST-000036","OBJ-REF-90","","Pascal ZIMMER"
"LST-000037","OBJ-REF-95","","Pascal ZIMMER"
"LST-000038","OBJ-REF-DOMAINE","","Pascal ZIMMER"
"LST-000039","OBJ-REF-LST-STATUT","","Pascal ZIMMER"
"LST-000040","OBJ-REF-LST-TYPE","","Pascal ZIMMER"
"LST-000041","OBJ-REF-ORG-COMPTE-TYPE","","Pascal ZIMMER"
"LST-000042","OBJ-REF-ORG-CONTACT-TYPE","","Pascal ZIMMER"
"LST-000043","OBJ-REF-ORG-SECTEUR","","Pascal ZIMMER"
"LST-000044","OBJ-REF-ORG-STATUT","","Pascal ZIMMER"
"LST-000045","OBJ-REF-ORG-TYPE","","Pascal ZIMMER"
"LST-000046","OBJ-REL","","Pascal ZIMMER"
"LST-000047","OBJ-SITE","","Pascal ZIMMER"
"LST-000048","OBJ-STATUT","","Pascal ZIMMER"
"LST-000049","Pages","","Pascal ZIMMER"
"LST-000050","Pièces jointes","","Pascal ZIMMER"
"LST-000051","ZZ-ARCHIVE-DSE-AUTRE - Bibliothèque de styles","","Pascal ZIMMER"
"LST-000052","ZZ-ARCHIVE-DSE-AUTRE - Modèles de formulaire","","Pascal ZIMMER"
"LST-000053","ZZ-ARCHIVE-DSE-Ressources d’assistant","","Pascal ZIMMER"
