"ID_LST";"NOM_LISTE";"URL_CATALOGUE";"URL_REELLE";"STATUT";"NB_ELEMENTS_CATALOGUE";"NB_ELEMENTS_REEL";"NB_COLONNES_CATALOGUE";"NB_COLONNES_REEL";"NB_VUES_CATALOGUE";"NB_VUES_REEL";"DETAIL"
"LST-000001";"DOC - Documents";"https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages";"https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages";"ECART";"458";"459";"50";"50";"5";"5";"Ecarts : ELEMENTS"
"LST-000002";"DSE - Coffre Ford";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP";"ECART";"1259";"1258";"2";"2";"1";"1";"Ecarts : ELEMENTS"
"LST-000003";"OBJ";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ";"CONFORME";"237";"237";"48";"48";"8";"8";"Catalogue coherent avec SharePoint."
"LST-000005";"OBJ-AUDIT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT";"CONFORME";"2";"2";"14";"14";"1";"1";"Catalogue coherent avec SharePoint."
"LST-000006";"OBJ-GEO-CAPITALE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE";"CONFORME";"249";"249";"26";"26";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000007";"OBJ-GEO-CONTINENT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT";"CONFORME";"7";"7";"20";"20";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000008";"OBJ-GEO-DEPARTEMENT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEPARTEMENT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEPARTEMENT";"CONFORME";"101";"101";"32";"32";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000009";"OBJ-GEO-DEVISE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEVISE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEVISE";"CONFORME";"154";"154";"21";"21";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000010";"OBJ-GEO-FUSEAU-HORAIRE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOFUSEAUHORAIRE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOFUSEAUHORAIRE";"CONFORME";"38";"38";"22";"22";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000011";"OBJ-GEO-LANGUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOLANGUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOLANGUE";"CONFORME";"112";"112";"22";"22";"16";"16";"Catalogue coherent avec SharePoint."
"LST-000012";"OBJ-GEO-NATIONALITE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEONATIONALITE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEONATIONALITE";"CONFORME";"249";"249";"26";"26";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000013";"OBJ-GEO-PAYS";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOPAYS";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOPAYS";"CONFORME";"249";"249";"32";"32";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000014";"OBJ-GEO-REGION";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOREGION";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOREGION";"CONFORME";"18";"18";"34";"34";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000015";"OBJ-GEO-SOURCE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSOURCE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSOURCE";"CONFORME";"6";"6";"32";"32";"4";"4";"Catalogue coherent avec SharePoint."
"LST-000016";"OBJ-GEO-STATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSTATUT";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSTATUT";"CONFORME";"22";"22";"21";"21";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000017";"OBJ-GEO-TERRITOIRE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOTERRITOIRE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOTERRITOIRE";"CONFORME";"9";"9";"29";"29";"5";"5";"Catalogue coherent avec SharePoint."
"LST-000018";"OBJ-GEO-VILLE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOVILLE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOVILLE";"CONFORME";"34868";"34868";"28";"28";"6";"6";"Catalogue coherent avec SharePoint."
"LST-000019";"OBJ-GEO-ZONE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOZONE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOZONE";"CONFORME";"35";"35";"19";"19";"5";"5";"Catalogue coherent avec SharePoint."
"LST-000020";"OBJ-JRN";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRN";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRN";"ECART";"253";"817";"16";"16";"1";"1";"Ecarts : ELEMENTS"
