"IDLST";"NOMLISTE";"SCORE";"RESULTAT";"ANOMALIES"
"LST-000001";"DOC - Documents";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000002";"DSE - Coffre Ford";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000003";"OBJ";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000005";"OBJ-AUDIT";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000006";"OBJ-GEO-CAPITALE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000007";"OBJ-GEO-CONTINENT";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000008";"OBJ-GEO-DEPARTEMENT";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000009";"OBJ-GEO-DEVISE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000010";"OBJ-GEO-FUSEAU-HORAIRE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000011";"OBJ-GEO-LANGUE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000012";"OBJ-GEO-NATIONALITE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000013";"OBJ-GEO-PAYS";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000014";"OBJ-GEO-REGION";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000015";"OBJ-GEO-SOURCE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000016";"OBJ-GEO-STATUT";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000017";"OBJ-GEO-TERRITOIRE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000018";"OBJ-GEO-VILLE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000019";"OBJ-GEO-ZONE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000020";"OBJ-JRN";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000021";"OBJ-JRN-GEO";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000022";"OBJ-MODULE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000023";"OBJ-ORG";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000024";"OBJ-ORG-COMPTE";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000025";"OBJ-ORG-CONTACT";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000026";"OBJ-PWS";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000027";"OBJ-REF-00";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000028";"OBJ-REF-10";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000029";"OBJ-REF-20";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000030";"OBJ-REF-30";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000031";"OBJ-REF-40";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000032";"OBJ-REF-50";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000033";"OBJ-REF-60";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000034";"OBJ-REF-70";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000035";"OBJ-REF-80";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
"LST-000036";"OBJ-REF-90";"80";"AVERTISSEMENT";"PROPRIETAIRE; EQUIPE"
