"DATECONTROLE";"IDRUN";"VERSION";"NOMCONTENEUR";"TYPECONTENEUR";"URLREELLE";"STATUTPROPOSE";"CORRESPONDANCE";"IDLSTEXISTANT";"NBELEMENTSREEL";"NBCOLONNESREEL";"NBVUESREEL";"ETATVALIDATION";"ACTIONEXECUTEE";"DETAIL"
"2026-09-12 09:27:01";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"DOC - Documents";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages";"MISE A JOUR PROPOSEE";"URL";"LST-000001";"459";"50";"5";"VALIDE";"AUCUNE";"NBELEMENTS"
"2026-09-12 09:27:01";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"DSE - Coffre Ford";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP";"EXCLU";"DSE-EXC-001";"";"1258";"0";"0";"EXCLU";"AUCUNE";"Coffre Ford exclu."
"2026-09-12 09:27:02";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"DSE-AUDITS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEAUDITS";"NOUVEAU A CREER";"AUCUNE";"";"16";"12";"5";"EN ATTENTE APRES CREATION";"AUCUNE";"Creation proposee, aucune creation automatique."
"2026-09-12 09:27:03";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"DSE-CSV";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSECSV";"NOUVEAU A CREER";"AUCUNE";"";"56";"2";"1";"EN ATTENTE APRES CREATION";"AUCUNE";"Creation proposee, aucune creation automatique."
"2026-09-12 09:27:04";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"DSE-OUTILS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEOUTILS";"NOUVEAU A CREER";"AUCUNE";"";"38";"11";"1";"EN ATTENTE APRES CREATION";"AUCUNE";"Creation proposee, aucune creation automatique."
"2026-09-12 09:27:17";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"OBJ";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ";"DEJA CONFORME";"URL";"LST-000003";"237";"48";"8";"EN ATTENTE";"AUCUNE";"Aucun ecart."
"2026-09-12 09:27:18";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"OBJ-ACT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJACT";"NOUVEAU A CREER";"AUCUNE";"";"0";"18";"1";"EN ATTENTE APRES CREATION";"AUCUNE";"Creation proposee, aucune creation automatique."
"2026-09-12 09:27:33";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"OBJ-AUDIT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT";"DEJA CONFORME";"URL";"LST-000005";"2";"14";"1";"VALIDE";"AUCUNE";"Aucun ecart."
"2026-09-12 09:27:40";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"OBJ-GEO-CAPITALE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE";"DEJA CONFORME";"URL";"LST-000006";"249";"26";"6";"VALIDE";"AUCUNE";"Aucun ecart."
"2026-09-12 09:27:48";"DSE-LST-004-20260912-092653";"1.4.4-REV-I";"OBJ-GEO-CONTINENT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT";"DEJA CONFORME";"URL";"LST-000007";"7";"20";"6";"VALIDE";"AUCUNE";"Aucun ecart."
