"DATECONTROLE";"IDRUN";"VERSION";"NOMCONTENEUR";"TYPECONTENEUR";"URLREELLE";"STATUTPROPOSE";"CORRESPONDANCE";"IDLSTEXISTANT";"NBELEMENTSREEL";"NBCOLONNESREEL";"NBVUESREEL";"ETATVALIDATION";"ACTIONEXECUTEE";"DETAIL"
"2026-09-12 09:54:37";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"DOC - Documents";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages";"MISE A JOUR PROPOSEE";"URL";"LST-000001";"459";"50";"5";"VALIDE";"AUCUNE";"NBELEMENTS"
"2026-09-12 09:54:37";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"DSE - Coffre Ford";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP";"EXCLU";"DSE-EXC-001";"";"1258";"0";"0";"EXCLU";"AUCUNE";"DSE - Coffre Ford exclu."
"2026-09-12 09:54:38";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"DSE-AUDITS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEAUDITS";"NOUVEAU A CREER";"AUCUNE";"";"18";"12";"5";"SANS FICHE OBJ-LST";"AUCUNE";"Creation proposee. Validation possible apres creation."
"2026-09-12 09:54:39";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"DSE-CSV";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSECSV";"NOUVEAU A CREER";"AUCUNE";"";"56";"2";"1";"SANS FICHE OBJ-LST";"AUCUNE";"Creation proposee. Validation possible apres creation."
"2026-09-12 09:54:41";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"DSE-OUTILS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEOUTILS";"NOUVEAU A CREER";"AUCUNE";"";"41";"11";"1";"SANS FICHE OBJ-LST";"AUCUNE";"Creation proposee. Validation possible apres creation."
"2026-09-12 09:54:42";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ";"DEJA CONFORME";"URL";"LST-000003";"237";"48";"8";"EN ATTENTE";"MAINTIEN EN ATTENTE";"Aucun ecart technique."
"2026-09-12 09:54:43";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-ACT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJACT";"NOUVEAU A CREER";"AUCUNE";"";"0";"18";"1";"SANS FICHE OBJ-LST";"AUCUNE";"Creation proposee. Validation possible apres creation."
"2026-09-12 09:54:44";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-AUDIT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT";"DEJA CONFORME";"URL";"LST-000005";"2";"14";"1";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:45";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-CAPITALE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE";"DEJA CONFORME";"URL";"LST-000006";"249";"26";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:46";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-CONTINENT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT";"DEJA CONFORME";"URL";"LST-000007";"7";"20";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:47";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-DEPARTEMENT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEPARTEMENT";"DEJA CONFORME";"URL";"LST-000008";"101";"32";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:48";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-DEVISE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEVISE";"DEJA CONFORME";"URL";"LST-000009";"154";"21";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:49";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-FUSEAU-HORAIRE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOFUSEAUHORAIRE";"DEJA CONFORME";"URL";"LST-000010";"38";"22";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:50";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-LANGUE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOLANGUE";"DEJA CONFORME";"URL";"LST-000011";"112";"22";"16";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:51";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-NATIONALITE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEONATIONALITE";"DEJA CONFORME";"URL";"LST-000012";"249";"26";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:52";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-PAYS";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOPAYS";"DEJA CONFORME";"URL";"LST-000013";"249";"32";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:53";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-REGION";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOREGION";"DEJA CONFORME";"URL";"LST-000014";"18";"34";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:54";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-SOURCE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSOURCE";"DEJA CONFORME";"URL";"LST-000015";"6";"32";"4";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:55";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-STATUT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSTATUT";"DEJA CONFORME";"URL";"LST-000016";"22";"21";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:57";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-TERRITOIRE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOTERRITOIRE";"DEJA CONFORME";"URL";"LST-000017";"9";"29";"5";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:58";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-VILLE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOVILLE";"DEJA CONFORME";"URL";"LST-000018";"34868";"28";"6";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:54:59";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-GEO-ZONE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOZONE";"DEJA CONFORME";"URL";"LST-000019";"35";"19";"5";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:55:00";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-JRN";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRN";"MISE A JOUR PROPOSEE";"URL";"LST-000020";"775";"16";"1";"VALIDE";"AUCUNE";"NBELEMENTS"
"2026-09-12 09:55:01";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-JRN-GEO";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJJRNGEO";"DEJA CONFORME";"URL";"LST-000021";"74";"25";"1";"VALIDE";"AUCUNE";"Aucun ecart technique."
"2026-09-12 09:55:02";"DSE-LST-004-20260912-095430";"1.5.0-REV-K";"OBJ-LST";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJLST";"NOUVEAU A CREER";"AUCUNE";"";"52";"21";"8";"SANS FICHE OBJ-LST";"AUCUNE";"Creation proposee. Validation possible apres creation."
