"DATECONTROLE";"IDRUN";"MODE";"NOMCONTENEUR";"TYPECONTENEUR";"URLREELLE";"STATUTPROPOSE";"CORRESPONDANCE";"IDLSTEXISTANT";"NBELEMENTSREEL";"NBCOLONNESREEL";"NBVUESREEL";"PROPRIETAIREPROPOSE";"EQUIPEPROPOSEE";"ACTIONEXECUTEE";"DETAIL"
"2026-09-12 08:35:27";"DSE-LST-004-20260912-083520";"SIMULATION";"DOC - Documents";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages";"MISE A JOUR PROPOSEE";"URL";"LST-000001";"459";"50";"5";"Pascal ZIMMER";"DSE";"AUCUNE";"NBELEMENTS: 458 -> 459"
"2026-09-12 08:35:28";"DSE-LST-004-20260912-083520";"SIMULATION";"DSE - Coffre Ford";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP";"EXCLU";"REGLE DSE-EXC-001";"";"1258";"0";"0";"Pascal ZIMMER";"DSE";"AUCUNE";"DSE - Coffre Ford exclu de tous les audits et de toute modification."
"2026-09-12 08:35:29";"DSE-LST-004-20260912-083520";"SIMULATION";"DSE-AUDITS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEAUDITS";"NOUVEAU A CREER";"AUCUNE";"";"15";"12";"5";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucune fiche correspondante detectee dans OBJ-LST. Creation proposee uniquement."
"2026-09-12 08:35:31";"DSE-LST-004-20260912-083520";"SIMULATION";"DSE-CSV";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSECSV";"NOUVEAU A CREER";"AUCUNE";"";"56";"2";"1";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucune fiche correspondante detectee dans OBJ-LST. Creation proposee uniquement."
"2026-09-12 08:35:33";"DSE-LST-004-20260912-083520";"SIMULATION";"DSE-OUTILS";"BIBLIOTHEQUE";"https://blogssite.sharepoint.com/sites/Bibliotheque/DSEOUTILS";"NOUVEAU A CREER";"AUCUNE";"";"23";"11";"1";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucune fiche correspondante detectee dans OBJ-LST. Creation proposee uniquement."
"2026-09-12 08:35:35";"DSE-LST-004-20260912-083520";"SIMULATION";"OBJ";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ";"DEJA CONFORME";"URL";"LST-000003";"237";"48";"8";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucun ecart technique detecte."
"2026-09-12 08:35:36";"DSE-LST-004-20260912-083520";"SIMULATION";"OBJ-ACT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJACT";"NOUVEAU A CREER";"AUCUNE";"";"0";"18";"1";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucune fiche correspondante detectee dans OBJ-LST. Creation proposee uniquement."
"2026-09-12 08:35:38";"DSE-LST-004-20260912-083520";"SIMULATION";"OBJ-AUDIT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT";"DEJA CONFORME";"URL";"LST-000005";"2";"14";"1";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucun ecart technique detecte."
"2026-09-12 08:35:39";"DSE-LST-004-20260912-083520";"SIMULATION";"OBJ-GEO-CAPITALE";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE";"DEJA CONFORME";"URL";"LST-000006";"249";"26";"6";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucun ecart technique detecte."
"2026-09-12 08:35:40";"DSE-LST-004-20260912-083520";"SIMULATION";"OBJ-GEO-CONTINENT";"LISTE";"https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT";"DEJA CONFORME";"URL";"LST-000007";"7";"20";"6";"Pascal ZIMMER";"DSE";"AUCUNE";"Aucun ecart technique detecte."
