Titre - Devise;ID GEO Devise;Code Devise;Symbole Devise;Pays;Continent;Actif;Ordre Affichage;Validation DSE
United Arab Emirates dirham;ID-GEO-DEV-000001;AED;د.إ;Émirats arabes unis;Asie;Oui;1;Non
Afghan afghani;ID-GEO-DEV-000002;AFN;؋;Afghanistan;Asie;Oui;2;Non
Albanian lek;ID-GEO-DEV-000003;ALL;L;Albanie;Europe;Oui;3;Non
Armenian dram;ID-GEO-DEV-000004;AMD;֏;Arménie;Asie;Oui;4;Non
Angolan kwanza;ID-GEO-DEV-000005;AOA;Kz;Angola;Afrique;Oui;5;Non
Argentine peso;ID-GEO-DEV-000006;ARS;$;Argentine;Amérique du Sud;Oui;6;Non
Australian dollar;ID-GEO-DEV-000007;AUD;$;Australie | Île Christmas | Île de Norfolk | Îles Cocos | Îles Heard-et-MacDonald | Kiribati | Nauru | Tuvalu;Océanie;Oui;7;Non
Aruban florin;ID-GEO-DEV-000008;AWG;ƒ;Aruba;Amérique du Nord;Oui;8;Non
Azerbaijani manat;ID-GEO-DEV-000009;AZN;₼;Azerbaïdjan;Asie;Oui;9;Non
Bosnia and Herzegovina convertible mark;ID-GEO-DEV-000010;BAM;KM;Bosnie-Herzégovine;Europe;Oui;10;Non
Barbadian dollar;ID-GEO-DEV-000011;BBD;$;Barbade;Amérique du Nord;Oui;11;Non
Bangladeshi taka;ID-GEO-DEV-000012;BDT;৳;Bangladesh;Asie;Oui;12;Non
Bahraini dinar;ID-GEO-DEV-000013;BHD;.د.ب;Bahreïn;Asie;Oui;13;Non
Burundian franc;ID-GEO-DEV-000014;BIF;FBu;Burundi;Afrique;Oui;14;Non
Bermudian dollar;ID-GEO-DEV-000015;BMD;$;Bermudes;Amérique du Nord;Oui;15;Non
Brunei dollar;ID-GEO-DEV-000016;BND;$;Brunéi Darussalam;Asie;Oui;16;Non
Bolivian boliviano;ID-GEO-DEV-000017;BOB;Bs.;Bolivie;Amérique du Sud;Oui;17;Non
Brazilian real;ID-GEO-DEV-000018;BRL;R$;Brésil;Amérique du Sud;Oui;18;Non
Bahamian dollar;ID-GEO-DEV-000019;BSD;$;Bahamas;Amérique du Nord;Oui;19;Non
Bhutanese ngultrum;ID-GEO-DEV-000020;BTN;Nu.;Bhoutan;Asie;Oui;20;Non
Botswana pula;ID-GEO-DEV-000021;BWP;P;Botswana;Afrique;Oui;21;Non
Belarusian ruble;ID-GEO-DEV-000022;BYN;Br;Bélarus;Europe;Oui;22;Non
Belize dollar;ID-GEO-DEV-000023;BZD;$;Belize;Amérique du Nord;Oui;23;Non
Canadian dollar;ID-GEO-DEV-000024;CAD;$;Canada;Amérique du Nord;Oui;24;Non
Congolese franc;ID-GEO-DEV-000025;CDF;FC;République démocratique du Congo;Afrique;Oui;25;Non
Swiss franc;ID-GEO-DEV-000026;CHF;CHF;Liechtenstein | Suisse;Europe;Oui;26;Non
Chilean peso;ID-GEO-DEV-000027;CLP;$;Chili;Amérique du Sud;Oui;27;Non
Chinese yuan renminbi;ID-GEO-DEV-000028;CNY;¥;Chine;Asie;Oui;28;Non
Colombian peso;ID-GEO-DEV-000029;COP;$;Colombie;Amérique du Sud;Oui;29;Non
Costa Rican colón;ID-GEO-DEV-000030;CRC;₡;Costa Rica;Amérique du Nord;Oui;30;Non
Cuban peso;ID-GEO-DEV-000031;CUP;$;Cuba;Amérique du Nord;Oui;31;Non
Cape Verdean escudo;ID-GEO-DEV-000032;CVE;$;Cap-Vert;Afrique;Oui;32;Non
Czech koruna;ID-GEO-DEV-000033;CZK;Kč;Tchéquie;Europe;Oui;33;Non
