Titre - Langue;ID GEO Langue;Code Langue;Code ISO 639-1;Pays;Continent;Actif;Ordre Affichage;Validation DSE
Afrikaans;ID-GEO-LAN-000001;AF;af;Afrique du Sud | Namibie;Afrique;Oui;1;Non
Amharique;ID-GEO-LAN-000002;AM;am;Éthiopie;Afrique;Oui;2;Non
Arabe;ID-GEO-LAN-000003;AR;ar;Algérie | Arabie Saoudite | Bahreïn | Comores | Djibouti | Irak | Israël | Jordanie | Koweït | Liban | Libye | Maroc | Mauritanie | Oman | Qatar | Somalie | Soudan | Syrie | Tchad | Tunisie | Yémen | Égypte | Émirats arabes unis | Érythrée | État de Palestine;Afrique | Asie;Oui;3;Non
Aymara;ID-GEO-LAN-000004;AY;ay;Bolivie;Amérique du Sud;Oui;4;Non
Azéri;ID-GEO-LAN-000005;AZ;az;Azerbaïdjan;Asie;Oui;5;Non
Biélorusse;ID-GEO-LAN-000006;BE;be;Bélarus;Europe;Oui;6;Non
Bulgare;ID-GEO-LAN-000007;BG;bg;Bulgarie;Europe;Oui;7;Non
Bichelamar;ID-GEO-LAN-000008;BI;bi;Vanuatu;Océanie;Oui;8;Non
Bengali;ID-GEO-LAN-000009;BN;bn;Bangladesh;Asie;Oui;9;Non
Bosnien;ID-GEO-LAN-000010;BS;bs;Bosnie-Herzégovine;Europe;Oui;10;Non
Catalan;ID-GEO-LAN-000011;CA;ca;Andorre;Europe;Oui;11;Non
Chamorro;ID-GEO-LAN-000012;CH;ch;Guam | Îles Mariannes du Nord;Océanie;Oui;12;Non
Tchèque;ID-GEO-LAN-000013;CS;cs;Tchéquie;Europe;Oui;13;Non
Danois;ID-GEO-LAN-000014;DA;da;Danemark;Europe;Oui;14;Non
Allemand;ID-GEO-LAN-000015;DE;de;Allemagne | Autriche | Belgique | Liechtenstein | Luxembourg | Suisse;Europe;Oui;15;Non
Maldivien;ID-GEO-LAN-000016;DV;dv;Maldives;Asie;Oui;16;Non
Dzongkha;ID-GEO-LAN-000017;DZ;dz;Bhoutan;Asie;Oui;17;Non
Grec;ID-GEO-LAN-000018;EL;el;Chypre | Grèce;Europe;Oui;18;Non
