Titre - Région;ID GEO Région;Code Région;Code Région ONU;Code Sous-Région ONU;Pays;Continent;Zone;Chef-lieu;Type Région;Description Région;Actif;Ordre Affichage;Validation DSE;Source
Guadeloupe;ID-GEO-REG-000001;1;;;France;Amérique du Nord;Caraïbes;Basse-Terre;OUTRE-MER;Région française Guadeloupe, code officiel géographique 01, chef-lieu Basse-Terre.;Oui;10;Non;https://www.insee.fr/fr/information/8740222
Martinique;ID-GEO-REG-000002;2;;;France;Amérique du Nord;Caraïbes;Fort-de-France;OUTRE-MER;Région française Martinique, code officiel géographique 02, chef-lieu Fort-de-France.;Oui;20;Non;https://www.insee.fr/fr/information/8740222
Guyane;ID-GEO-REG-000003;3;;;France;Amérique du Sud;Amérique du Sud;Cayenne;OUTRE-MER;Région française Guyane, code officiel géographique 03, chef-lieu Cayenne.;Oui;30;Non;https://www.insee.fr/fr/information/8740222
La Réunion;ID-GEO-REG-000004;4;;;France;Afrique;Afrique de l’Est;Saint-Denis;OUTRE-MER;Région française La Réunion, code officiel géographique 04, chef-lieu Saint-Denis.;Oui;40;Non;https://www.insee.fr/fr/information/8740222
Mayotte;ID-GEO-REG-000005;6;;;France;Afrique;Afrique de l’Est;Mamoudzou;OUTRE-MER;Région française Mayotte, code officiel géographique 06, chef-lieu Mamoudzou.;Oui;50;Non;https://www.insee.fr/fr/information/8740222
Île-de-France;ID-GEO-REG-000006;11;;;France;Europe;Europe de l’Ouest;Paris;METROPOLE;Région française Île-de-France, code officiel géographique 11, chef-lieu Paris.;Oui;60;Non;https://www.insee.fr/fr/information/8740222
Centre-Val de Loire;ID-GEO-REG-000007;24;;;France;Europe;Europe de l’Ouest;Orléans;METROPOLE;Région française Centre-Val de Loire, code officiel géographique 24, chef-lieu Orléans.;Oui;70;Non;https://www.insee.fr/fr/information/8740222
Bourgogne-Franche-Comté;ID-GEO-REG-000008;27;;;France;Europe;Europe de l’Ouest;Dijon;METROPOLE;Région française Bourgogne-Franche-Comté, code officiel géographique 27, chef-lieu Dijon.;Oui;80;Non;https://www.insee.fr/fr/information/8740222
Normandie;ID-GEO-REG-000009;28;;;France;Europe;Europe de l’Ouest;Rouen;METROPOLE;Région française Normandie, code officiel géographique 28, chef-lieu Rouen.;Oui;90;Non;https://www.insee.fr/fr/information/8740222
Hauts-de-France;ID-GEO-REG-000010;32;;;France;Europe;Europe de l’Ouest;Lille;METROPOLE;Région française Hauts-de-France, code officiel géographique 32, chef-lieu Lille.;Oui;100;Non;https://www.insee.fr/fr/information/8740222
Grand Est;ID-GEO-REG-000011;44;;;France;Europe;Europe de l’Ouest;Strasbourg;METROPOLE;Région française Grand Est, code officiel géographique 44, chef-lieu Strasbourg.;Oui;110;Non;https://www.insee.fr/fr/information/8740222
Pays de la Loire;ID-GEO-REG-000012;52;;;France;Europe;Europe de l’Ouest;Nantes;METROPOLE;Région française Pays de la Loire, code officiel géographique 52, chef-lieu Nantes.;Oui;120;Non;https://www.insee.fr/fr/information/8740222
Bretagne;ID-GEO-REG-000013;53;;;France;Europe;Europe de l’Ouest;Rennes;METROPOLE;Région française Bretagne, code officiel géographique 53, chef-lieu Rennes.;Oui;130;Non;https://www.insee.fr/fr/information/8740222
Nouvelle-Aquitaine;ID-GEO-REG-000014;75;;;France;Europe;Europe de l’Ouest;Bordeaux;METROPOLE;Région française Nouvelle-Aquitaine, code officiel géographique 75, chef-lieu Bordeaux.;Oui;140;Non;https://www.insee.fr/fr/information/8740222
Occitanie;ID-GEO-REG-000015;76;;;France;Europe;Europe de l’Ouest;Toulouse;METROPOLE;Région française Occitanie, code officiel géographique 76, chef-lieu Toulouse.;Oui;150;Non;https://www.insee.fr/fr/information/8740222
Auvergne-Rhône-Alpes;ID-GEO-REG-000016;84;;;France;Europe;Europe de l’Ouest;Lyon;METROPOLE;Région française Auvergne-Rhône-Alpes, code officiel géographique 84, chef-lieu Lyon.;Oui;160;Non;https://www.insee.fr/fr/information/8740222
Provence-Alpes-Côte d’Azur;ID-GEO-REG-000017;93;;;France;Europe;Europe de l’Ouest;Marseille;METROPOLE;Région française Provence-Alpes-Côte d’Azur, code officiel géographique 93, chef-lieu Marseille.;Oui;170;Non;https://www.insee.fr/fr/information/8740222
Corse;ID-GEO-REG-000018;94;;;France;Europe;Europe du Sud;Ajaccio;METROPOLE;Région française Corse, code officiel géographique 94, chef-lieu Ajaccio.;Oui;180;Non;https://www.insee.fr/fr/information/8740222
