Titre - Zone;ID GEO Zone;Code Zone;Type Zone;Description Zone;Actif;Ordre Affichage;Validation DSE
Afrique du Nord;ID-GEO-ZON-000001;AFRIQUE-NORD;SOUS-REGION;Zone géographique regroupant les territoires du nord du continent africain.;Oui;10;Non
Afrique de l'Ouest;ID-GEO-ZON-000002;AFRIQUE-OUEST;SOUS-REGION;Zone géographique regroupant les territoires de l'ouest du continent africain.;Oui;20;Non
Afrique centrale;ID-GEO-ZON-000003;AFRIQUE-CENTRALE;SOUS-REGION;Zone géographique regroupant les territoires du centre du continent africain.;Oui;30;Non
Afrique de l'Est;ID-GEO-ZON-000004;AFRIQUE-EST;SOUS-REGION;Zone géographique regroupant les territoires de l'est du continent africain.;Oui;40;Non
Afrique australe;ID-GEO-ZON-000005;AFRIQUE-AUSTRALE;SOUS-REGION;Zone géographique regroupant les territoires du sud du continent africain.;Oui;50;Non
Asie occidentale;ID-GEO-ZON-000006;ASIE-OCCIDENTALE;SOUS-REGION;Zone géographique regroupant les territoires de l'ouest du continent asiatique.;Oui;60;Non
Asie centrale;ID-GEO-ZON-000007;ASIE-CENTRALE;SOUS-REGION;Zone géographique regroupant les territoires du centre du continent asiatique.;Oui;70;Non
Asie méridionale;ID-GEO-ZON-000008;ASIE-MERIDIONALE;SOUS-REGION;Zone géographique regroupant les territoires du sud du continent asiatique.;Oui;80;Non
Asie orientale;ID-GEO-ZON-000009;ASIE-ORIENTALE;SOUS-REGION;Zone géographique regroupant les territoires de l'est du continent asiatique.;Oui;90;Non
Asie du Sud-Est;ID-GEO-ZON-000010;ASIE-SUD-EST;SOUS-REGION;Zone géographique regroupant les territoires du sud-est du continent asiatique.;Oui;100;Non
Europe du Nord;ID-GEO-ZON-000011;EUROPE-NORD;SOUS-REGION;Zone géographique regroupant les territoires du nord du continent européen.;Oui;110;Non
Europe de l'Ouest;ID-GEO-ZON-000012;EUROPE-OUEST;SOUS-REGION;Zone géographique regroupant les territoires de l'ouest du continent européen.;Oui;120;Non
Europe centrale;ID-GEO-ZON-000013;EUROPE-CENTRALE;SOUS-REGION;Zone géographique regroupant les territoires du centre du continent européen.;Oui;130;Non
Europe de l'Est;ID-GEO-ZON-000014;EUROPE-EST;SOUS-REGION;Zone géographique regroupant les territoires de l'est du continent européen.;Oui;140;Non
Europe du Sud;ID-GEO-ZON-000015;EUROPE-SUD;SOUS-REGION;Zone géographique regroupant les territoires du sud du continent européen.;Oui;150;Non
Amérique du Nord;ID-GEO-ZON-000016;AMERIQUE-NORD;SOUS-REGION;Zone géographique regroupant les territoires de la partie nord du continent américain.;Oui;160;Non
Amérique centrale;ID-GEO-ZON-000017;AMERIQUE-CENTRALE;SOUS-REGION;Zone géographique reliant l'Amérique du Nord et l'Amérique du Sud.;Oui;170;Non
Caraïbes;ID-GEO-ZON-000018;CARAIBES;SOUS-REGION;Zone géographique regroupant les îles et territoires de la mer des Caraïbes.;Oui;180;Non
Amérique du Sud;ID-GEO-ZON-000019;AMERIQUE-SUD;SOUS-REGION;Zone géographique regroupant les territoires de la partie sud du continent américain.;Oui;190;Non
Australie et Nouvelle-Zélande;ID-GEO-ZON-000020;AUSTRALIE-NZ;SOUS-REGION;Zone géographique d'Océanie regroupant l'Australie et la Nouvelle-Zélande.;Oui;200;Non
Mélanésie;ID-GEO-ZON-000021;MELANESIE;SOUS-REGION;Zone géographique d'Océanie regroupant les territoires mélanésiens.;Oui;210;Non
Micronésie;ID-GEO-ZON-000022;MICRONESIE;SOUS-REGION;Zone géographique d'Océanie regroupant les territoires micronésiens.;Oui;220;Non
Polynésie;ID-GEO-ZON-000023;POLYNESIE;SOUS-REGION;Zone géographique d'Océanie regroupant les territoires polynésiens.;Oui;230;Non
Antarctique;ID-GEO-ZON-000024;ANTARCTIQUE;ZONE-POLAIRE;Zone géographique correspondant au continent antarctique et à ses territoires associés.;Oui;240;Non
Arctique;ID-GEO-ZON-000025;ARCTIQUE;ZONE-POLAIRE;Zone géographique située autour du pôle Nord.;Oui;250;Non
Union européenne;ID-GEO-ZON-000026;UNION-EUROPEENNE;ECONOMIQUE-POLITIQUE;Zone regroupant les États membres de l'Union européenne.;Oui;500;Non
Zone euro;ID-GEO-ZON-000027;ZONE-EURO;MONETAIRE;Zone regroupant les territoires utilisant officiellement l'euro selon le référentiel DSE.;Oui;510;Non
Espace Schengen;ID-GEO-ZON-000028;ESPACE-SCHENGEN;CIRCULATION;Zone regroupant les territoires participant à l'espace Schengen selon le référentiel DSE.;Oui;520;Non
Espace économique européen;ID-GEO-ZON-000029;ESPACE-ECONOMIQUE-EUROPEEN;ECONOMIQUE;Zone regroupant les territoires participant à l'Espace économique européen.;Oui;530;Non
Outre-mer français;ID-GEO-ZON-000030;OUTRE-MER-FRANCAIS;ADMINISTRATIVE;Zone fonctionnelle regroupant les territoires français situés hors de la France métropolitaine.;Oui;540;Non
Zone de livraison;ID-GEO-ZON-000031;ZONE-LIVRAISON;LOGISTIQUE;Zone configurable utilisée pour organiser les règles de livraison dans DSE.;Oui;900;Non
Zone commerciale;ID-GEO-ZON-000032;ZONE-COMMERCIALE;COMMERCIALE;Zone configurable utilisée pour organiser les activités commerciales dans DSE.;Oui;910;Non
Zone linguistique;ID-GEO-ZON-000033;ZONE-LINGUISTIQUE;LINGUISTIQUE;Zone configurable utilisée pour regrouper les territoires selon des critères linguistiques.;Oui;920;Non
Zone à contrôler;ID-GEO-ZON-000034;ZONE-A-CONTROLER;CONTROLE;Zone temporaire utilisée lorsqu'un rattachement géographique doit être vérifié.;Oui;980;Non
Zone non déterminée;ID-GEO-ZON-000035;ZONE-NON-DETERMINEE;INCONNU;Zone utilisée lorsqu'aucun rattachement fiable n'est encore disponible.;Oui;990;Non
