Titre - Galerie;ID OBJ Galerie;Code Galerie;Règne;Type Galerie;Description Galerie;Nombre Médias Conseillé;Génération IA Autorisée;Actif;Ordre Affichage;Validation DSE
Identification;ID-OBJ-GAL-000001;IDENTIFICATION;ANIMAL;STANDARD;Vues générales permettant d’identifier clairement le sujet.;6;Oui;Oui;10;Non
Adulte;ID-OBJ-GAL-000002;ADULTE;ANIMAL;STANDARD;Représentations du sujet à l’âge adulte.;5;Oui;Oui;20;Non
Jeunes;ID-OBJ-GAL-000003;JEUNES;ANIMAL;STANDARD;Représentations des petits et des différents stades de jeunesse.;6;Oui;Oui;30;Non
Famille;ID-OBJ-GAL-000004;FAMILLE;ANIMAL;STANDARD;Représentations des groupes familiaux et interactions adaptées au sujet.;5;Oui;Oui;40;Non
Habitat;ID-OBJ-GAL-000005;HABITAT;ANIMAL;STANDARD;Milieux naturels tanières nids abris et territoires du sujet.;8;Oui;Oui;50;Non
Nourriture;ID-OBJ-GAL-000006;NOURRITURE;ANIMAL;STANDARD;Aliments régimes alimentaires recherche de nourriture et alimentation.;8;Oui;Oui;60;Non
Prédateurs et menaces;ID-OBJ-GAL-000007;PREDATEURS-MENACES;ANIMAL;EDUCATION;Prédateurs naturels dangers et menaces environnementales.;5;Oui;Oui;70;Non
Anatomie;ID-OBJ-GAL-000008;ANATOMIE;ANIMAL;EDUCATION;Morphologie externe et vues anatomiques éducatives non choquantes.;8;Oui;Oui;80;Non
Squelette;ID-OBJ-GAL-000009;SQUELETTE;ANIMAL;EDUCATION;Représentations éducatives du squelette et des principaux os.;6;Oui;Oui;90;Non
Crâne et dentition;ID-OBJ-GAL-000010;CRANE-DENTITION;ANIMAL;EDUCATION;Représentations éducatives du crâne des mâchoires et de la dentition.;5;Oui;Oui;100;Non
Empreintes;ID-OBJ-GAL-000011;EMPREINTES;ANIMAL;EDUCATION;Empreintes traces et indices de présence du sujet.;5;Oui;Oui;110;Non
Reproduction;ID-OBJ-GAL-000012;REPRODUCTION;ANIMAL;EDUCATION;Cycle reproductif présenté de manière scientifique et non explicite.;4;Oui;Oui;120;Non
Cycle de vie;ID-OBJ-GAL-000013;CYCLE-DE-VIE;ANIMAL;EDUCATION;Étapes principales du développement et du cycle de vie.;8;Oui;Oui;130;Non
Comportement;ID-OBJ-GAL-000014;COMPORTEMENT;ANIMAL;STANDARD;Comportements sociaux déplacements repos chasse ou communication.;8;Oui;Oui;140;Non
Plante entière;ID-OBJ-GAL-000015;PLANTE-ENTIERE;VEGETAL;STANDARD;Représentations complètes du végétal dans son contexte naturel.;6;Oui;Oui;200;Non
Feuilles;ID-OBJ-GAL-000016;FEUILLES;VEGETAL;DETAIL;Formes couleurs nervures et évolution saisonnière des feuilles.;6;Oui;Oui;210;Non
Fleurs;ID-OBJ-GAL-000017;FLEURS;VEGETAL;DETAIL;Fleurs boutons floraison et détails botaniques.;8;Oui;Oui;220;Non
Fruits;ID-OBJ-GAL-000018;FRUITS;VEGETAL;DETAIL;Fruits et stades de maturation associés au végétal.;6;Oui;Oui;230;Non
Graines;ID-OBJ-GAL-000019;GRAINES;VEGETAL;DETAIL;Graines fruits secs et mécanismes de dispersion.;5;Oui;Oui;240;Non
Racines;ID-OBJ-GAL-000020;RACINES;VEGETAL;EDUCATION;Systèmes racinaires et représentations botaniques éducatives.;5;Oui;Oui;250;Non
Croissance végétale;ID-OBJ-GAL-000021;CROISSANCE-VEGETALE;VEGETAL;EDUCATION;Germination croissance floraison fructification et vieillissement.;8;Oui;Oui;260;Non
Utilisations végétales;ID-OBJ-GAL-000022;UTILISATIONS-VEGETALES;VEGETAL;USAGE;Usages alimentaires artisanaux décoratifs ou industriels documentés.;6;Oui;Oui;270;Non
Aspect champignon;ID-OBJ-GAL-000023;ASPECT-CHAMPIGNON;CHAMPIGNON;STANDARD;Vue générale et caractéristiques visuelles du champignon.;6;Oui;Oui;300;Non
Chapeau;ID-OBJ-GAL-000024;CHAPEAU;CHAMPIGNON;DETAIL;Forme texture couleur et évolution du chapeau.;5;Oui;Oui;310;Non
