Titre - Licence;ID OBJ Licence;Code Licence;Type Licence;Description Licence;Prix HT Défaut;Devise;Usage Personnel;Usage Commercial;Modification Autorisée;Redistribution Autorisée;Revente Autorisée;Signature Obligatoire;Filigrane Obligatoire;Personnalisation Autorisée;Version Autorisée;Nombre Téléchargements;Durée Lien Jours;Actif;Ordre Affichage;Validation DSE
Gratuite aperçu;ID-OBJ-LIC-000001;GRATUITE-APERCU;GRATUITE;Licence gratuite limitée à la consultation d’un aperçu protégé.;0;EUR;Oui;Non;Non;Non;Non;Oui;Oui;Non;APERCU;1;1;Oui;10;Non
Usage personnel signé;ID-OBJ-LIC-000002;PERSONNEL-SIGNE;PERSONNELLE;Licence pour un usage personnel avec signature DSE conservée.;0;EUR;Oui;Non;Non;Non;Non;Oui;Non;Non;SIGNEE;3;7;Oui;20;Non
Standard;ID-OBJ-LIC-000003;STANDARD;STANDARD;Licence standard pour un usage personnel étendu sans redistribution.;0;EUR;Oui;Non;Oui;Non;Non;Oui;Non;Non;SIGNEE;3;7;Oui;30;Non
Commerciale signée;ID-OBJ-LIC-000004;COMMERCIALE-SIGNEE;COMMERCIALE;Licence commerciale autorisant l’utilisation professionnelle avec signature DSE.;0;EUR;Oui;Oui;Oui;Non;Non;Oui;Non;Non;SIGNEE;5;14;Oui;40;Non
Commerciale non signée;ID-OBJ-LIC-000005;COMMERCIALE-NON-SIGNEE;COMMERCIALE;Licence commerciale autorisant une version sans signature visible selon validation DSE.;0;EUR;Oui;Oui;Oui;Non;Non;Non;Non;Non;NON-SIGNEE;5;14;Oui;50;Non
Professionnelle personnalisée;ID-OBJ-LIC-000006;PRO-PERSONNALISEE;PROFESSIONNELLE;Licence professionnelle permettant une version personnalisée avec identité client.;0;EUR;Oui;Oui;Oui;Non;Non;Selon livraison;Non;Oui;CLIENT;5;30;Oui;60;Non
Agence;ID-OBJ-LIC-000007;AGENCE;AGENCE;Licence destinée à une agence pour ses propres projets clients selon les conditions DSE.;0;EUR;Oui;Oui;Oui;Non;Non;Non;Non;Oui;NON-SIGNEE-OU-CLIENT;10;30;Oui;70;Non
Entreprise;ID-OBJ-LIC-000008;ENTREPRISE;ENTREPRISE;Licence destinée à une organisation avec personnalisation et usages internes ou commerciaux définis.;0;EUR;Oui;Oui;Oui;Non;Non;Selon livraison;Non;Oui;CLIENT;10;30;Oui;80;Non
Développeur;ID-OBJ-LIC-000009;DEVELOPPEUR;DEVELOPPEUR;Licence pour l’intégration dans un projet technique sans redistribution du fichier source isolé.;0;EUR;Oui;Oui;Oui;Non;Non;Non;Non;Oui;NON-SIGNEE;10;30;Oui;90;Non
Éditoriale;ID-OBJ-LIC-000010;EDITORIALE;EDITORIALE;Licence destinée aux usages éditoriaux informatifs éducatifs ou documentaires.;0;EUR;Oui;Oui;Recadrage uniquement;Non;Non;Oui;Non;Non;SIGNEE;5;14;Oui;100;Non
Éducative;ID-OBJ-LIC-000011;EDUCATIVE;EDUCATIVE;Licence destinée aux usages pédagogiques en classe formation ou documentation interne.;0;EUR;Oui;Non;Oui;Non;Non;Oui;Non;Non;SIGNEE;5;30;Oui;110;Non
Interne organisation;ID-OBJ-LIC-000012;INTERNE-ORGANISATION;INTERNE;Licence limitée aux usages internes d’une organisation sans diffusion publique.;0;EUR;Oui;Non;Oui;Non;Non;Oui;Non;Oui;CLIENT;10;30;Oui;120;Non
Exclusive;ID-OBJ-LIC-000013;EXCLUSIVE;EXCLUSIVE;Licence exclusive soumise à validation spécifique et au retrait éventuel des autres offres.;0;EUR;Oui;Oui;Oui;Selon contrat;Selon contrat;Non;Non;Oui;ORIGINALE-OU-CLIENT;10;30;Oui;130;Non
Personnalisation seule;ID-OBJ-LIC-000014;PERSONNALISATION-SEULE;SERVICE;Service de personnalisation appliqué à une licence compatible existante.;0;EUR;Selon licence;Selon licence;Selon licence;Non;Non;Selon licence;Selon licence;Oui;CLIENT;3;14;Oui;140;Non
Pack;ID-OBJ-LIC-000015;PACK;PACK;Licence appliquée à un ensemble de médias livré sous forme de pack.;0;EUR;Oui;Selon offre;Selon offre;Non;Non;Selon offre;Selon offre;Selon offre;PACK;5;30;Oui;150;Non
Abonnement futur;ID-OBJ-LIC-000016;ABONNEMENT-FUTUR;ABONNEMENT;Licence réservée à une future offre d’abonnement DSE non active au lancement.;0;EUR;Non;Non;Non;Non;Non;Oui;Oui;Non;AUCUNE;0;0;Non;900;Non
À définir;ID-OBJ-LIC-000017;A-DEFINIR;CONTROLE;Licence temporaire nécessitant une décision et une validation DSE avant utilisation.;0;EUR;Non;Non;Non;Non;Non;Oui;Oui;Non;AUCUNE;0;0;Oui;990;Non
