Titre - Structure;ID OBJ Liste;Code Liste;Nom Structure;Type Structure;Famille;Description;Statut Déploiement;Nom Protégé;Modification Réservée Super Admin;Journalisation Obligatoire;Source Officielle;Actif;Ordre Affichage;Validation DSE
OBJ-STATUT;ID-OBJ-LST-000001;OBJ-STATUT;OBJ-STATUT;LISTE;OBJ;Référentiel universel des statuts DSE.;EXISTANTE;Oui;Oui;Oui;SharePoint;Oui;10;Non
OBJ-TYPE;ID-OBJ-LST-000002;OBJ-TYPE;OBJ-TYPE;LISTE;OBJ;Référentiel universel des types d’objets DSE.;EXISTANTE;Oui;Oui;Oui;SharePoint;Oui;20;Non
OBJ-SITE;ID-OBJ-LST-000003;OBJ-SITE;OBJ-SITE;LISTE;OBJ;Référentiel officiel des sites DSE.;EXISTANTE;Oui;Oui;Oui;SharePoint;Oui;30;Non
OBJ-MODULE;ID-OBJ-LST-000004;OBJ-MODULE;OBJ-MODULE;LISTE;OBJ;Référentiel officiel des modules DSE.;EXISTANTE;Oui;Oui;Oui;SharePoint;Oui;40;Non
OBJ-LISTE;ID-OBJ-LST-000005;OBJ-LISTE;OBJ-LISTE;LISTE;GOUVERNANCE;Registre maître des listes bibliothèques et journaux DSE.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;50;Non
OBJ-REGNE;ID-OBJ-LST-000006;OBJ-REGNE;OBJ-REGNE;LISTE;KNOWLEDGE;Référentiel des règnes et domaines de connaissance DSE.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;60;Non
OBJ-COLLECTION;ID-OBJ-LST-000007;OBJ-COLLECTION;OBJ-COLLECTION;LISTE;KNOWLEDGE;Référentiel des collections DSE.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;70;Non
OBJ-GALERIE;ID-OBJ-LST-000008;OBJ-GALERIE;OBJ-GALERIE;LISTE;KNOWLEDGE;Référentiel des galeries et sujets de médias DSE.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;80;Non
OBJ-TYPE-MEDIA;ID-OBJ-LST-000009;OBJ-TYPE-MEDIA;OBJ-TYPE-MEDIA;LISTE;MEDIA;Référentiel des types de médias DSE.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;90;Non
OBJ-LICENCE;ID-OBJ-LST-000010;OBJ-LICENCE;OBJ-LICENCE;LISTE;MEDIA;Référentiel des licences et droits d’utilisation.;A-CREER;Oui;Oui;Oui;SharePoint;Oui;100;Non
