Titre - Règne;ID OBJ Règne;Code Règne;Type Règne;Description Règne;Galeries Conseillées;Actif;Ordre Affichage;Validation DSE
Animal;ID-OBJ-REG-000001;ANIMAL;SCIENTIFIQUE;Domaine consacré aux animaux et à leurs espèces.;Identification | Jeunes | Habitat | Nourriture | Anatomie | Squelette | Reproduction | Cycle de vie;Oui;10;Non
Végétal;ID-OBJ-REG-000002;VEGETAL;SCIENTIFIQUE;Domaine consacré aux plantes arbres fleurs et autres végétaux.;Plante entière | Feuilles | Fleurs | Fruits | Graines | Racines | Habitat | Cycle de vie | Utilisations;Oui;20;Non
Champignon;ID-OBJ-REG-000003;CHAMPIGNON;SCIENTIFIQUE;Domaine consacré aux champignons et organismes fongiques.;Aspect général | Chapeau | Pied | Lamelles | Spores | Habitat | Cycle de vie | Comestibilité;Oui;30;Non
Bactérie;ID-OBJ-REG-000004;BACTERIE;SCIENTIFIQUE;Domaine consacré aux bactéries et à leur représentation éducative.;Morphologie | Structure | Habitat | Reproduction | Observation | Utilité | Risques;Oui;40;Non
Archée;ID-OBJ-REG-000005;ARCHEE;SCIENTIFIQUE;Domaine consacré aux archées et aux environnements extrêmes associés.;Morphologie | Structure | Habitat extrême | Métabolisme | Reproduction | Observation;Oui;50;Non
Protiste;ID-OBJ-REG-000006;PROTISTE;SCIENTIFIQUE;Domaine consacré aux organismes eucaryotes microscopiques regroupés pour les usages DSE.;Morphologie | Structure | Habitat | Déplacement | Nutrition | Reproduction | Observation;Oui;60;Non
Minéral;ID-OBJ-REG-000007;MINERAL;SCIENTIFIQUE;Domaine consacré aux minéraux roches cristaux métaux et gemmes.;Aspect général | Cristaux | Couleurs | Composition | Extraction | Gisements | Utilisations | Collection;Oui;70;Non
Humain;ID-OBJ-REG-000008;HUMAIN;CONNAISSANCE;Domaine éducatif consacré à l’être humain sans données personnelles.;Anatomie | Squelette | Organes | Développement | Activités | Culture | Prévention;Oui;80;Non
Géographie;ID-OBJ-REG-000009;GEOGRAPHIE;CONNAISSANCE;Domaine consacré aux territoires pays régions départements villes et paysages.;Drapeaux | Cartes | Capitales | Villes | Monuments | Paysages | Culture | Tourisme;Oui;90;Non
Astronomie;ID-OBJ-REG-000010;ASTRONOMIE;CONNAISSANCE;Domaine consacré aux objets et phénomènes astronomiques.;Planètes | Étoiles | Lunes | Galaxies | Constellations | Nébuleuses | Exploration | Schémas;Oui;100;Non
Histoire;ID-OBJ-REG-000011;HISTOIRE;CONNAISSANCE;Domaine consacré aux périodes événements objets et lieux historiques.;Périodes | Événements | Personnages | Objets | Cartes | Reconstitutions | Chronologies;Oui;110;Non
Patrimoine;ID-OBJ-REG-000012;PATRIMOINE;CONNAISSANCE;Domaine consacré aux monuments œuvres traditions et patrimoines matériels ou immatériels.;Monuments | Architecture | Œuvres | Traditions | Métiers | Restauration | Visites;Oui;120;Non
Technologie;ID-OBJ-REG-000013;TECHNOLOGIE;CONNAISSANCE;Domaine consacré aux outils machines systèmes numériques et innovations.;Vue générale | Composants | Fonctionnement | Usages | Évolution | Sécurité | Schémas;Oui;130;Non
Environnement;ID-OBJ-REG-000014;ENVIRONNEMENT;CONNAISSANCE;Domaine consacré aux écosystèmes climats ressources naturelles et protection de la nature.;Écosystèmes | Climat | Eau | Sols | Biodiversité | Risques | Protection | Éducation;Oui;140;Non
Art et création;ID-OBJ-REG-000015;ART-CREATION;CONNAISSANCE;Domaine consacré aux arts visuels aux créations graphiques et aux productions culturelles.;Œuvres | Techniques | Styles | Matériaux | Étapes | Collections | Expositions;Oui;150;Non
Alimentation;ID-OBJ-REG-000016;ALIMENTATION;CONNAISSANCE;Domaine consacré aux aliments recettes ingrédients et cultures culinaires.;Ingrédients | Préparation | Présentation | Origine | Nutrition | Recettes | Traditions;Oui;160;Non
Sport;ID-OBJ-REG-000017;SPORT;CONNAISSANCE;Domaine consacré aux disciplines équipements lieux et pratiques sportives.;Discipline | Équipement | Technique | Entraînement | Lieux | Histoire | Sécurité;Oui;170;Non
Éducation;ID-OBJ-REG-000018;EDUCATION;CONNAISSANCE;Domaine transversal consacré aux contenus pédagogiques et supports d’apprentissage.;Cours | Schémas | Fiches | Exercices | Présentations | Quiz | Synthèses;Oui;180;Non
Non déterminé;ID-OBJ-REG-000019;NON-DETERMINE;CONTROLE;Valeur temporaire utilisée lorsqu’un domaine ne peut pas encore être qualifié.;À contrôler;Oui;990;Non
