Titre - Type Média;ID OBJ Type Média;Code Type Média;Famille Média;Extensions Principales;Description Type Média;Aperçu Obligatoire;Filigrane Possible;Téléchargement Possible;Actif;Ordre Affichage;Validation DSE
Image;ID-OBJ-TME-000001;IMAGE;VISUEL;PNG | JPG | JPEG | WEBP | TIFF;Image fixe destinée à la consultation à l’illustration ou au téléchargement.;Oui;Oui;Oui;Oui;10;Non
Image vectorielle;ID-OBJ-TME-000002;IMAGE-VECTORIELLE;VISUEL;SVG | EPS | AI;Illustration vectorielle redimensionnable destinée aux usages graphiques.;Oui;Oui;Oui;Oui;20;Non
Photographie;ID-OBJ-TME-000003;PHOTOGRAPHIE;VISUEL;JPG | JPEG | PNG | TIFF | RAW;Photographie réelle ou générée par IA selon les règles DSE.;Oui;Oui;Oui;Oui;30;Non
Illustration;ID-OBJ-TME-000004;ILLUSTRATION;VISUEL;PNG | JPG | WEBP | SVG;Création illustrative artistique éducative ou éditoriale.;Oui;Oui;Oui;Oui;40;Non
Infographie;ID-OBJ-TME-000005;INFOGRAPHIE;VISUEL;PNG | JPG | SVG | PDF;Composition visuelle destinée à expliquer des données étapes ou connaissances.;Oui;Oui;Oui;Oui;50;Non
Carte;ID-OBJ-TME-000006;CARTE;VISUEL;PNG | JPG | SVG | PDF;Carte géographique administrative physique ou thématique.;Oui;Oui;Oui;Oui;60;Non
Drapeau;ID-OBJ-TME-000007;DRAPEAU;VISUEL;PNG | SVG | JPG;Représentation contrôlée d’un drapeau officiel ou historique.;Oui;Oui;Oui;Oui;70;Non
Logo;ID-OBJ-TME-000008;LOGO;VISUEL;PNG | SVG | PDF;Logo ou identité visuelle avec versions protégées et autorisées.;Oui;Oui;Oui;Oui;80;Non
Bannière;ID-OBJ-TME-000009;BANNIERE;VISUEL;PNG | JPG | WEBP;Visuel horizontal destiné aux pages portails catalogues ou campagnes.;Oui;Oui;Oui;Oui;90;Non
Icône;ID-OBJ-TME-000010;ICONE;VISUEL;PNG | SVG | ICO;Élément graphique compact utilisé dans les interfaces et documents.;Oui;Oui;Oui;Oui;100;Non
Vidéo;ID-OBJ-TME-000011;VIDEO;VIDEO;MP4 | WEBM | MOV;Contenu vidéo destiné à la publication la formation ou au téléchargement.;Oui;Oui;Oui;Oui;110;Non
Animation;ID-OBJ-TME-000012;ANIMATION;VIDEO;MP4 | WEBM | GIF;Séquence animée courte éducative illustrative ou promotionnelle.;Oui;Oui;Oui;Oui;120;Non
Audio;ID-OBJ-TME-000013;AUDIO;AUDIO;MP3 | WAV | M4A | FLAC;Contenu sonore musical vocal naturel ou éducatif.;Oui;Oui;Oui;Oui;130;Non
Musique;ID-OBJ-TME-000014;MUSIQUE;AUDIO;MP3 | WAV | FLAC;Composition musicale originale ou générée selon les règles DSE.;Oui;Non;Oui;Oui;140;Non
Effet sonore;ID-OBJ-TME-000015;EFFET-SONORE;AUDIO;WAV | MP3 | FLAC;Son court destiné aux médias présentations applications ou productions.;Oui;Non;Oui;Oui;150;Non
Voix et narration;ID-OBJ-TME-000016;VOIX-NARRATION;AUDIO;WAV | MP3 | M4A;Enregistrement vocal narration lecture ou accompagnement pédagogique.;Oui;Non;Oui;Oui;160;Non
