Titre - Type;ID OBJ Type;Code Type;Famille Type;Description Type;Type Structure;Actif;Ordre Affichage;Validation DSE
Liste SharePoint;ID-OBJ-TYP-000001;LISTE-SHAREPOINT;STRUCTURE;Liste SharePoint utilisée comme référentiel catalogue registre ou configuration DSE.;LISTE;Oui;10;Non
Bibliothèque SharePoint;ID-OBJ-TYP-000002;BIBLIOTHEQUE-SHAREPOINT;STRUCTURE;Bibliothèque SharePoint utilisée pour stocker les fichiers officiels DSE.;BIBLIOTHEQUE;Oui;20;Non
Référentiel;ID-OBJ-TYP-000003;REFERENTIEL;DONNEE;Source officielle de valeurs normalisées utilisées par les listes DSE.;LISTE;Oui;30;Non
Catalogue;ID-OBJ-TYP-000004;CATALOGUE;DONNEE;Catalogue structuré d’objets produits médias ou ressources DSE.;LISTE;Oui;40;Non
Journal;ID-OBJ-TYP-000005;JOURNAL;GOUVERNANCE;Journal de traçabilité des actions erreurs corrections validations et événements DSE.;JOURNAL;Oui;50;Non
Archive;ID-OBJ-TYP-000006;ARCHIVE;GOUVERNANCE;Structure ou élément conservé pour historique et traçabilité.;ARCHIVE;Oui;60;Non
Configuration;ID-OBJ-TYP-000007;CONFIGURATION;TECHNIQUE;Paramètre ou structure de configuration utilisée par DSE.;CONFIGURATION;Oui;70;Non
Site SharePoint;ID-OBJ-TYP-000008;SITE-SHAREPOINT;SITE;Site SharePoint appartenant à DemainSite Écosystème.;SITE;Oui;80;Non
Site Power Pages;ID-OBJ-TYP-000009;SITE-POWER-PAGES;SITE;Portail Power Pages destiné à la publication contrôlée de contenus DSE.;SITE;Oui;90;Non
Page;ID-OBJ-TYP-000010;PAGE;CONTENU;Page de contenu interne ou public rattachée à un site DSE.;CONTENU;Oui;100;Non
Module;ID-OBJ-TYP-000011;MODULE;APPLICATION;Fonction ou composant fonctionnel réutilisable dans DSE.;MODULE;Oui;110;Non
Composant;ID-OBJ-TYP-000012;COMPOSANT;APPLICATION;Composant réutilisable d’une page d’une application ou d’un module DSE.;COMPOSANT;Oui;120;Non
Application;ID-OBJ-TYP-000013;APPLICATION;APPLICATION;Application métier ou technique rattachée à DSE.;APPLICATION;Oui;130;Non
Automate;ID-OBJ-TYP-000014;AUTOMATE;AUTOMATISATION;Flux Power Automate ou traitement automatisé DSE.;AUTOMATE;Oui;140;Non
Connecteur;ID-OBJ-TYP-000015;CONNECTEUR;INTEGRATION;Connexion contrôlée entre DSE et un service interne ou externe.;CONNECTEUR;Oui;150;Non
API;ID-OBJ-TYP-000016;API;INTEGRATION;Interface de programmation utilisée par les services DSE.;API;Oui;160;Non
Source de données;ID-OBJ-TYP-000017;SOURCE-DONNEES;DONNEE;Source officielle ou contrôlée alimentant un référentiel DSE.;SOURCE;Oui;170;Non
Fichier CSV;ID-OBJ-TYP-000018;FICHIER-CSV;FICHIER;Fichier CSV d’import export sauvegarde ou synchronisation DSE.;FICHIER;Oui;180;Non
Document;ID-OBJ-TYP-000019;DOCUMENT;CONTENU;Document de référence procédure rapport ou livrable DSE.;DOCUMENT;Oui;190;Non
Média;ID-OBJ-TYP-000020;MEDIA;MEDIA;Média référencé dans OBJ-MEDIA et stocké dans MEDIA-UNIVERSAL.;MEDIA;Oui;200;Non
Prompt IA;ID-OBJ-TYP-000021;PROMPT-IA;IA;Prompt maître ou spécialisé utilisé pour une génération IA contrôlée.;IA;Oui;210;Non
Modèle IA;ID-OBJ-TYP-000022;MODELE-IA;IA;Modèle ou service IA autorisé pour les traitements DSE.;IA;Oui;220;Non
Règne;ID-OBJ-TYP-000023;REGNE;KNOWLEDGE;Domaine universel de connaissance tel qu’animal végétal minéral ou géographie.;CONNAISSANCE;Oui;230;Non
Collection;ID-OBJ-TYP-000024;COLLECTION;KNOWLEDGE;Ensemble cohérent de sujets ou médias rattaché à un règne DSE.;CONNAISSANCE;Oui;240;Non
Galerie;ID-OBJ-TYP-000025;GALERIE;KNOWLEDGE;Regroupement thématique de médias au sein d’une collection DSE.;CONNAISSANCE;Oui;250;Non
Licence;ID-OBJ-TYP-000026;LICENCE;COMMERCE;Règle contractuelle définissant les droits d’utilisation d’un média ou service DSE.;LICENCE;Oui;260;Non
Commande;ID-OBJ-TYP-000027;COMMANDE;COMMERCE;Enregistrement d’une commande ou d’un droit de téléchargement DSE.;COMMANDE;Oui;270;Non
Client;ID-OBJ-TYP-000028;CLIENT;RELATION;Organisation ou personne cliente référencée dans DSE.;RELATION;Oui;280;Non
Projet;ID-OBJ-TYP-000029;PROJET;GESTION;Projet interne ou client suivi dans DemainSite Écosystème.;PROJET;Oui;290;Non
Rapport;ID-OBJ-TYP-000030;RAPPORT;GOUVERNANCE;Rapport de contrôle audit activité ou décision produit par DSE.;RAPPORT;Oui;300;Non
Alerte;ID-OBJ-TYP-000031;ALERTE;GOUVERNANCE;Signalement nécessitant un contrôle ou une action dans DSE.;ALERTE;Oui;310;Non
Tâche;ID-OBJ-TYP-000032;TACHE;GESTION;Action planifiée ou suivie dans un processus DSE.;TACHE;Oui;320;Non
