"id";"Title";"CODEBIB";"NOMBIB";"URLBIB";"EQUIPE";"DESCRIPTION";"NBDOCUMENTS";"DATEDERNIERCONTROLE";"ACTIF";"VERROUILLE";"TYPEBIB";"USAGE";"STATUTBIB";"OBJREF";"NOTES";"Modified";"Created";"Author";"Editor"
"1";"Bibliotheque DOC - Documents";"BIB-DOC---Documents";"DOC - Documents";"@{Description=/sites/Bibliotheque/Documents partages/Forms/DSE  Documents officiels.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Documents partages/Forms/DSE  Documents officiels.aspx}";"";"Bibliotheque de documents SharePoint : DOC - Documents";"459";"09/19/2026 09:23:02";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:05";"09/19/2026 07:23:05";"UserId:11";"UserId:11"
"2";"Bibliotheque DSE - Coffre Ford";"BIB-DSE---Coffre-Ford";"DSE - Coffre Ford";"@{Description=/sites/Bibliotheque/DSE  Coffre ZIP/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  Coffre ZIP/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : DSE - Coffre Ford";"1063";"09/19/2026 09:23:04";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:06";"09/19/2026 07:23:06";"UserId:11";"UserId:11"
"3";"Bibliotheque DSE - MEDIAS";"BIB-DSE---MEDIAS";"DSE - MEDIAS";"@{Description=/sites/Bibliotheque/DSE  MEDIAS/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSE  MEDIAS/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : DSE - MEDIAS";"459";"09/19/2026 09:23:05";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:07";"09/19/2026 07:23:07";"UserId:11";"UserId:11"
"4";"Bibliotheque DSE-AUDITS";"BIB-DSE-AUDITS";"DSE-AUDITS";"@{Description=/sites/Bibliotheque/DSEAUDITS/Forms/Audits valids.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSEAUDITS/Forms/Audits valids.aspx}";"";"Bibliotheque de documents SharePoint : DSE-AUDITS";"21";"09/19/2026 09:23:06";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:08";"09/19/2026 07:23:08";"UserId:11";"UserId:11"
"5";"Bibliotheque DSE-CSV";"BIB-DSE-CSV";"DSE-CSV";"@{Description=/sites/Bibliotheque/DSECSV/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSECSV/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : DSE-CSV";"56";"09/19/2026 09:23:07";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:10";"09/19/2026 07:23:10";"UserId:11";"UserId:11"
"6";"Bibliotheque DSE-OUTILS";"BIB-DSE-OUTILS";"DSE-OUTILS";"@{Description=/sites/Bibliotheque/DSEOUTILS/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSEOUTILS/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : DSE-OUTILS";"377";"09/19/2026 09:23:08";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:11";"09/19/2026 07:23:11";"UserId:11";"UserId:11"
"7";"Bibliotheque DSE-RAPPORTS";"BIB-DSE-RAPPORTS";"DSE-RAPPORTS";"@{Description=/sites/Bibliotheque/DSERAPPORTS/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/DSERAPPORTS/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : DSE-RAPPORTS";"288";"09/19/2026 09:23:09";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:11";"09/19/2026 07:23:11";"UserId:11";"UserId:11"
"8";"Bibliotheque Pages";"BIB-Pages";"Pages";"@{Description=/sites/Bibliotheque/SitePages/Forms/ByAuthor.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/Forms/ByAuthor.aspx}";"";"Bibliotheque de documents SharePoint : Pages";"51";"09/19/2026 09:23:10";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:12";"09/19/2026 07:23:12";"UserId:11";"UserId:11"
"9";"Bibliotheque Pièces jointes";"BIB-Pi-ces-jointes";"Pièces jointes";"@{Description=/sites/Bibliotheque/SiteAssets/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SiteAssets/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : Pièces jointes";"20";"09/19/2026 09:23:11";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:23:13";"09/19/2026 07:23:13";"UserId:11";"UserId:11"
"10";"Bibliotheque ZZ-ARCHIVE-DSE-Ressources d’assistant";"BIB-ZZ-ARCHIVE-DSE-Ressources-d-assistant";"ZZ-ARCHIVE-DSE-Ressources d’assistant";"@{Description=/sites/Bibliotheque/AgentAssets/Forms/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/AgentAssets/Forms/AllItems.aspx}";"";"Bibliotheque de documents SharePoint : ZZ-ARCHIVE-DSE-Ressources d’assistant";"4";"09/19/2026 09:23:12";"Non";"Non";"";"";"";"";"";"09/19/2026 07:23:14";"09/19/2026 07:23:14";"UserId:11";"UserId:11"
