"id";"Title";"IDGeoDevise";"CodeDevise";"CodeISODevise";"SymboleDevise";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"United Arab Emirates dirham";"ID-GEO-DEV-000001";"AED";"";"د.إ";"Oui";"1";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:25";"09/10/2026 07:59:25";"";""
"2";"Afghan afghani";"ID-GEO-DEV-000002";"AFN";"";"؋";"Oui";"2";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:26";"09/10/2026 07:59:26";"";""
"3";"Albanian lek";"ID-GEO-DEV-000003";"ALL";"";"L";"Oui";"3";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:28";"09/10/2026 07:59:28";"";""
"4";"Armenian dram";"ID-GEO-DEV-000004";"AMD";"";"֏";"Oui";"4";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:29";"09/10/2026 07:59:29";"";""
"5";"Angolan kwanza";"ID-GEO-DEV-000005";"AOA";"";"Kz";"Oui";"5";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:31";"09/10/2026 07:59:31";"";""
"6";"Argentine peso";"ID-GEO-DEV-000006";"ARS";"";"$";"Oui";"6";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:32";"09/10/2026 07:59:32";"";""
"7";"Australian dollar";"ID-GEO-DEV-000007";"AUD";"";"$";"Oui";"7";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:33";"09/10/2026 07:59:33";"";""
"8";"Aruban florin";"ID-GEO-DEV-000008";"AWG";"";"ƒ";"Oui";"8";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:35";"09/10/2026 07:59:35";"";""
"9";"Azerbaijani manat";"ID-GEO-DEV-000009";"AZN";"";"₼";"Oui";"9";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:36";"09/10/2026 07:59:36";"";""
"10";"Bosnia and Herzegovina convertible mark";"ID-GEO-DEV-000010";"BAM";"";"KM";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:37";"09/10/2026 07:59:37";"";""
"11";"Barbadian dollar";"ID-GEO-DEV-000011";"BBD";"";"$";"Oui";"11";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:39";"09/10/2026 07:59:39";"";""
"12";"Bangladeshi taka";"ID-GEO-DEV-000012";"BDT";"";"৳";"Oui";"12";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:40";"09/10/2026 07:59:40";"";""
"13";"Bahraini dinar";"ID-GEO-DEV-000013";"BHD";"";".د.ب";"Oui";"13";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:41";"09/10/2026 07:59:41";"";""
"14";"Burundian franc";"ID-GEO-DEV-000014";"BIF";"";"FBu";"Oui";"14";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:43";"09/10/2026 07:59:43";"";""
"15";"Bermudian dollar";"ID-GEO-DEV-000015";"BMD";"";"$";"Oui";"15";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:44";"09/10/2026 07:59:44";"";""
"16";"Brunei dollar";"ID-GEO-DEV-000016";"BND";"";"$";"Oui";"16";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:45";"09/10/2026 07:59:45";"";""
"17";"Bolivian boliviano";"ID-GEO-DEV-000017";"BOB";"";"Bs.";"Oui";"17";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:47";"09/10/2026 07:59:47";"";""
"18";"Brazilian real";"ID-GEO-DEV-000018";"BRL";"";"R$";"Oui";"18";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:48";"09/10/2026 07:59:48";"";""
"19";"Bahamian dollar";"ID-GEO-DEV-000019";"BSD";"";"$";"Oui";"19";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:50";"09/10/2026 07:59:50";"";""
"20";"Bhutanese ngultrum";"ID-GEO-DEV-000020";"BTN";"";"Nu.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:51";"09/10/2026 07:59:51";"";""
"21";"Botswana pula";"ID-GEO-DEV-000021";"BWP";"";"P";"Oui";"21";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:53";"09/10/2026 07:59:53";"";""
"22";"Belarusian ruble";"ID-GEO-DEV-000022";"BYN";"";"Br";"Oui";"22";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:54";"09/10/2026 07:59:54";"";""
"23";"Belize dollar";"ID-GEO-DEV-000023";"BZD";"";"$";"Oui";"23";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:55";"09/10/2026 07:59:55";"";""
"24";"Canadian dollar";"ID-GEO-DEV-000024";"CAD";"";"$";"Oui";"24";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:56";"09/10/2026 07:59:56";"";""
"25";"Congolese franc";"ID-GEO-DEV-000025";"CDF";"";"FC";"Oui";"25";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:58";"09/10/2026 07:59:58";"";""
"26";"Swiss franc";"ID-GEO-DEV-000026";"CHF";"";"CHF";"Oui";"26";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 07:59:59";"09/10/2026 07:59:59";"";""
"27";"Chilean peso";"ID-GEO-DEV-000027";"CLP";"";"$";"Oui";"27";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:00";"09/10/2026 08:00:00";"";""
"28";"Chinese yuan renminbi";"ID-GEO-DEV-000028";"CNY";"";"¥";"Oui";"28";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:02";"09/10/2026 08:00:02";"";""
"29";"Colombian peso";"ID-GEO-DEV-000029";"COP";"";"$";"Oui";"29";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:04";"09/10/2026 08:00:04";"";""
"30";"Costa Rican colón";"ID-GEO-DEV-000030";"CRC";"";"₡";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:05";"09/10/2026 08:00:05";"";""
"31";"Cuban peso";"ID-GEO-DEV-000031";"CUP";"";"$";"Oui";"31";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:07";"09/10/2026 08:00:07";"";""
"32";"Cape Verdean escudo";"ID-GEO-DEV-000032";"CVE";"";"$";"Oui";"32";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:08";"09/10/2026 08:00:08";"";""
"33";"Czech koruna";"ID-GEO-DEV-000033";"CZK";"";"Kč";"Oui";"33";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:10";"09/10/2026 08:00:10";"";""
"34";"Djiboutian franc";"ID-GEO-DEV-000034";"DJF";"";"Fdj";"Oui";"34";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:11";"09/10/2026 08:00:11";"";""
"35";"Danish krone";"ID-GEO-DEV-000035";"DKK";"";"kr";"Oui";"35";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:13";"09/10/2026 08:00:13";"";""
"36";"Dominican peso";"ID-GEO-DEV-000036";"DOP";"";"$";"Oui";"36";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:14";"09/10/2026 08:00:14";"";""
"37";"Algerian dinar";"ID-GEO-DEV-000037";"DZD";"";"د.ج";"Oui";"37";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:15";"09/10/2026 08:00:15";"";""
"38";"Egyptian pound";"ID-GEO-DEV-000038";"EGP";"";"£";"Oui";"38";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:18";"09/10/2026 08:00:18";"";""
"39";"Eritrean nakfa";"ID-GEO-DEV-000039";"ERN";"";"Nfk";"Oui";"39";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:18";"09/10/2026 08:00:18";"";""
"40";"Ethiopian birr";"ID-GEO-DEV-000040";"ETB";"";"Br";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:20";"09/10/2026 08:00:20";"";""
"41";"Euro";"ID-GEO-DEV-000041";"EUR";"";"€";"Oui";"41";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:21";"09/10/2026 08:00:21";"";""
"42";"Fijian dollar";"ID-GEO-DEV-000042";"FJD";"";"$";"Oui";"42";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:23";"09/10/2026 08:00:23";"";""
"43";"Falkland Islands pound";"ID-GEO-DEV-000043";"FKP";"";"£";"Oui";"43";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:24";"09/10/2026 08:00:24";"";""
"44";"Pound sterling";"ID-GEO-DEV-000044";"GBP";"";"£";"Oui";"44";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:26";"09/10/2026 08:00:26";"";""
"45";"Georgian lari";"ID-GEO-DEV-000045";"GEL";"";"₾";"Oui";"45";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:27";"09/10/2026 08:00:27";"";""
"46";"Ghanaian cedi";"ID-GEO-DEV-000046";"GHS";"";"₵";"Oui";"46";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:29";"09/10/2026 08:00:29";"";""
"47";"Gibraltar pound";"ID-GEO-DEV-000047";"GIP";"";"£";"Oui";"47";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:30";"09/10/2026 08:00:30";"";""
"48";"Gambian dalasi";"ID-GEO-DEV-000048";"GMD";"";"D";"Oui";"48";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:32";"09/10/2026 08:00:32";"";""
"49";"Guinean franc";"ID-GEO-DEV-000049";"GNF";"";"FG";"Oui";"49";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:33";"09/10/2026 08:00:33";"";""
"50";"Guatemalan quetzal";"ID-GEO-DEV-000050";"GTQ";"";"Q";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:35";"09/10/2026 08:00:35";"";""
"51";"Guyanese dollar";"ID-GEO-DEV-000051";"GYD";"";"$";"Oui";"51";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:37";"09/10/2026 08:00:37";"";""
"52";"Hong Kong dollar";"ID-GEO-DEV-000052";"HKD";"";"$";"Oui";"52";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:38";"09/10/2026 08:00:38";"";""
"53";"Honduran lempira";"ID-GEO-DEV-000053";"HNL";"";"L";"Oui";"53";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:40";"09/10/2026 08:00:40";"";""
"54";"Haitian gourde";"ID-GEO-DEV-000054";"HTG";"";"G";"Oui";"54";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:41";"09/10/2026 08:00:41";"";""
"55";"Hungarian forint";"ID-GEO-DEV-000055";"HUF";"";"Ft";"Oui";"55";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:43";"09/10/2026 08:00:43";"";""
"56";"Indonesian rupiah";"ID-GEO-DEV-000056";"IDR";"";"Rp";"Oui";"56";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:45";"09/10/2026 08:00:45";"";""
"57";"Israeli new shekel";"ID-GEO-DEV-000057";"ILS";"";"₪";"Oui";"57";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:45";"09/10/2026 08:00:45";"";""
"58";"Indian rupee";"ID-GEO-DEV-000058";"INR";"";"₹";"Oui";"58";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:48";"09/10/2026 08:00:48";"";""
"59";"Iraqi dinar";"ID-GEO-DEV-000059";"IQD";"";"ع.د";"Oui";"59";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:48";"09/10/2026 08:00:48";"";""
"60";"Iranian rial";"ID-GEO-DEV-000060";"IRR";"";"﷼";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:50";"09/10/2026 08:00:50";"";""
"61";"Icelandic króna";"ID-GEO-DEV-000061";"ISK";"";"kr";"Oui";"61";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:51";"09/10/2026 08:00:51";"";""
"62";"Jamaican dollar";"ID-GEO-DEV-000062";"JMD";"";"$";"Oui";"62";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:53";"09/10/2026 08:00:53";"";""
"63";"Jordanian dinar";"ID-GEO-DEV-000063";"JOD";"";"د.أ";"Oui";"63";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:54";"09/10/2026 08:00:54";"";""
"64";"Japanese yen";"ID-GEO-DEV-000064";"JPY";"";"¥";"Oui";"64";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:56";"09/10/2026 08:00:56";"";""
"65";"Kenyan shilling";"ID-GEO-DEV-000065";"KES";"";"KSh";"Oui";"65";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:57";"09/10/2026 08:00:57";"";""
"66";"Kyrgyzstani som";"ID-GEO-DEV-000066";"KGS";"";"с";"Oui";"66";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:00:59";"09/10/2026 08:00:59";"";""
"67";"Cambodian riel";"ID-GEO-DEV-000067";"KHR";"";"៛";"Oui";"67";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:00";"09/10/2026 08:01:00";"";""
"68";"Comorian franc";"ID-GEO-DEV-000068";"KMF";"";"CF";"Oui";"68";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:02";"09/10/2026 08:01:02";"";""
"69";"North Korean won";"ID-GEO-DEV-000069";"KPW";"";"₩";"Oui";"69";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:03";"09/10/2026 08:01:03";"";""
"70";"South Korean won";"ID-GEO-DEV-000070";"KRW";"";"₩";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:05";"09/10/2026 08:01:05";"";""
"71";"Kuwaiti dinar";"ID-GEO-DEV-000071";"KWD";"";"د.ك";"Oui";"71";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:06";"09/10/2026 08:01:06";"";""
"72";"Cayman Islands dollar";"ID-GEO-DEV-000072";"KYD";"";"$";"Oui";"72";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:07";"09/10/2026 08:01:07";"";""
"73";"Kazakhstani tenge";"ID-GEO-DEV-000073";"KZT";"";"₸";"Oui";"73";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:09";"09/10/2026 08:01:09";"";""
"74";"Lao kip";"ID-GEO-DEV-000074";"LAK";"";"₭";"Oui";"74";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:10";"09/10/2026 08:01:10";"";""
"75";"Lebanese pound";"ID-GEO-DEV-000075";"LBP";"";"ل.ل";"Oui";"75";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:11";"09/10/2026 08:01:11";"";""
"76";"Sri Lankan rupee";"ID-GEO-DEV-000076";"LKR";"";"Rs";"Oui";"76";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:13";"09/10/2026 08:01:13";"";""
"77";"Liberian dollar";"ID-GEO-DEV-000077";"LRD";"";"$";"Oui";"77";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:15";"09/10/2026 08:01:15";"";""
"78";"Lesotho loti";"ID-GEO-DEV-000078";"LSL";"";"L";"Oui";"78";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:16";"09/10/2026 08:01:16";"";""
"79";"Libyan dinar";"ID-GEO-DEV-000079";"LYD";"";"ل.د";"Oui";"79";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:17";"09/10/2026 08:01:17";"";""
"80";"Moroccan dirham";"ID-GEO-DEV-000080";"MAD";"";"د.م.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:19";"09/10/2026 08:01:19";"";""
"81";"Moldovan leu";"ID-GEO-DEV-000081";"MDL";"";"L";"Oui";"81";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:20";"09/10/2026 08:01:20";"";""
"82";"Malagasy ariary";"ID-GEO-DEV-000082";"MGA";"";"Ar";"Oui";"82";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:22";"09/10/2026 08:01:22";"";""
"83";"Macedonian denar";"ID-GEO-DEV-000083";"MKD";"";"ден";"Oui";"83";"Non";"Non";"Non";"Non";"Import GEO-DEVISES-IMPORT.csv";"";"09/10/2026 08:01:23";"09/10/2026 08:01:23";"";""
