"id";"Title";"IDGeoLangue";"CodeLangue";"CodeISO6391";"Actif";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"OrdreAffichage";"NotesDSE";"Pays";"Continent";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"Afrikaans";"ID-GEO-LAN-000001";"AF";"af";"Oui";"Non";"Non";"Non";"Non";"1";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud | Namibie";"Afrique";"";"09/10/2026 05:48:33";"09/10/2026 05:48:33";"UserId:11";"UserId:11"
"2";"Amharique";"ID-GEO-LAN-000002";"AM";"am";"Oui";"Non";"Non";"Non";"Non";"2";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Éthiopie";"Afrique";"";"09/10/2026 05:48:36";"09/10/2026 05:48:36";"UserId:11";"UserId:11"
"3";"Arabe";"ID-GEO-LAN-000003";"AR";"ar";"Oui";"Non";"Non";"Non";"Non";"3";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Algérie | Arabie Saoudite | Bahreïn | Comores | Djibouti | Irak | Israël | Jordanie | Koweït | Liban | Libye | Maroc | Mauritanie | Oman | Qatar | Somalie | Soudan | Syrie | Tchad | Tunisie | Yémen | Égypte | Émirats arabes unis | Érythrée | État de Palestine";"Afrique | Asie";"";"09/10/2026 05:48:38";"09/10/2026 05:48:38";"UserId:11";"UserId:11"
"4";"Aymara";"ID-GEO-LAN-000004";"AY";"ay";"Oui";"Non";"Non";"Non";"Non";"4";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bolivie";"Amérique du Sud";"";"09/10/2026 05:48:40";"09/10/2026 05:48:40";"UserId:11";"UserId:11"
"5";"Azéri";"ID-GEO-LAN-000005";"AZ";"az";"Oui";"Non";"Non";"Non";"Non";"5";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Azerbaïdjan";"Asie";"";"09/10/2026 05:48:42";"09/10/2026 05:48:42";"UserId:11";"UserId:11"
"6";"Biélorusse";"ID-GEO-LAN-000006";"BE";"be";"Oui";"Non";"Non";"Non";"Non";"6";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bélarus";"Europe";"";"09/10/2026 05:48:44";"09/10/2026 05:48:44";"UserId:11";"UserId:11"
"7";"Bulgare";"ID-GEO-LAN-000007";"BG";"bg";"Oui";"Non";"Non";"Non";"Non";"7";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bulgarie";"Europe";"";"09/10/2026 05:48:47";"09/10/2026 05:48:47";"UserId:11";"UserId:11"
"8";"Bichelamar";"ID-GEO-LAN-000008";"BI";"bi";"Oui";"Non";"Non";"Non";"Non";"8";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Vanuatu";"Océanie";"";"09/10/2026 05:48:49";"09/10/2026 05:48:49";"UserId:11";"UserId:11"
"9";"Bengali";"ID-GEO-LAN-000009";"BN";"bn";"Oui";"Non";"Non";"Non";"Non";"9";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bangladesh";"Asie";"";"09/10/2026 05:48:51";"09/10/2026 05:48:51";"UserId:11";"UserId:11"
"10";"Bosnien";"ID-GEO-LAN-000010";"BS";"bs";"Oui";"Non";"Non";"Non";"Non";"10";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bosnie-Herzégovine";"Europe";"";"09/10/2026 05:48:53";"09/10/2026 05:48:53";"UserId:11";"UserId:11"
"11";"Catalan";"ID-GEO-LAN-000011";"CA";"ca";"Oui";"Non";"Non";"Non";"Non";"11";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Andorre";"Europe";"";"09/10/2026 05:48:55";"09/10/2026 05:48:55";"UserId:11";"UserId:11"
"12";"Chamorro";"ID-GEO-LAN-000012";"CH";"ch";"Oui";"Non";"Non";"Non";"Non";"12";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Guam | Îles Mariannes du Nord";"Océanie";"";"09/10/2026 05:48:57";"09/10/2026 05:48:57";"UserId:11";"UserId:11"
"13";"Tchèque";"ID-GEO-LAN-000013";"CS";"cs";"Oui";"Non";"Non";"Non";"Non";"13";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Tchéquie";"Europe";"";"09/10/2026 05:48:59";"09/10/2026 05:48:59";"UserId:11";"UserId:11"
"14";"Danois";"ID-GEO-LAN-000014";"DA";"da";"Oui";"Non";"Non";"Non";"Non";"14";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Danemark";"Europe";"";"09/10/2026 05:49:01";"09/10/2026 05:49:01";"UserId:11";"UserId:11"
"15";"Allemand";"ID-GEO-LAN-000015";"DE";"de";"Oui";"Non";"Non";"Non";"Non";"15";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Allemagne | Autriche | Belgique | Liechtenstein | Luxembourg | Suisse";"Europe";"";"09/10/2026 05:49:03";"09/10/2026 05:49:03";"UserId:11";"UserId:11"
"16";"Maldivien";"ID-GEO-LAN-000016";"DV";"dv";"Oui";"Non";"Non";"Non";"Non";"16";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Maldives";"Asie";"";"09/10/2026 05:49:05";"09/10/2026 05:49:05";"UserId:11";"UserId:11"
"17";"Dzongkha";"ID-GEO-LAN-000017";"DZ";"dz";"Oui";"Non";"Non";"Non";"Non";"17";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bhoutan";"Asie";"";"09/10/2026 05:49:07";"09/10/2026 05:49:07";"UserId:11";"UserId:11"
"18";"Grec";"ID-GEO-LAN-000018";"EL";"el";"Oui";"Non";"Non";"Non";"Non";"18";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Chypre | Grèce";"Europe";"";"09/10/2026 05:49:09";"09/10/2026 05:49:09";"UserId:11";"UserId:11"
