"id";"Title";"IDGeoRegion";"CodeRegion";"CodeRegionONU";"CodeSousRegionONU";"DescriptionRegion";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"Pays";"Source";"ChefLieu";"TypeRegion";"PaysTexte";"ContinentTexte";"ZoneTexte";"SourceTexte";"DSELookupContinent";"DSELookupZone";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"Guadeloupe";"ID-GEO-REG-000001";"1";"";"";"Région française Guadeloupe, code officiel géographique 01, chef-lieu Basse-Terre.";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Basse-Terre";"OUTRE-MER";"France";"Amérique du Nord";"Caraïbes";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:49";"09/10/2026 18:23:45";"";""
"2";"Martinique";"ID-GEO-REG-000002";"2";"";"";"Région française Martinique, code officiel géographique 02, chef-lieu Fort-de-France.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Fort-de-France";"OUTRE-MER";"France";"Amérique du Nord";"Caraïbes";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:50";"09/10/2026 18:23:46";"";""
"3";"Guyane";"ID-GEO-REG-000003";"3";"";"";"Région française Guyane, code officiel géographique 03, chef-lieu Cayenne.";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Cayenne";"OUTRE-MER";"France";"Amérique du Sud";"Amérique du Sud";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:51";"09/10/2026 18:23:48";"";""
"4";"La Réunion";"ID-GEO-REG-000004";"4";"";"";"Région française La Réunion, code officiel géographique 04, chef-lieu Saint-Denis.";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Saint-Denis";"OUTRE-MER";"France";"Afrique";"Afrique de l’Est";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:52";"09/10/2026 18:23:48";"";""
"5";"Mayotte";"ID-GEO-REG-000005";"6";"";"";"Région française Mayotte, code officiel géographique 06, chef-lieu Mamoudzou.";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Mamoudzou";"OUTRE-MER";"France";"Afrique";"Afrique de l’Est";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:54";"09/10/2026 18:23:49";"";""
"6";"Île-de-France";"ID-GEO-REG-000006";"11";"";"";"Région française Île-de-France, code officiel géographique 11, chef-lieu Paris.";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Paris";"METROPOLE";"France";"Europe";"Europe de l’Ouest";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:55";"09/10/2026 18:23:49";"";""
"7";"Centre-Val de Loire";"ID-GEO-REG-000007";"24";"";"";"Région française Centre-Val de Loire, code officiel géographique 24, chef-lieu Orléans.";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Orléans";"METROPOLE";"France";"Europe";"Europe de l’Ouest";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:56";"09/10/2026 18:23:50";"";""
"8";"Bourgogne-Franche-Comté";"ID-GEO-REG-000008";"27";"";"";"Région française Bourgogne-Franche-Comté, code officiel géographique 27, chef-lieu Dijon.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Dijon";"METROPOLE";"France";"Europe";"Europe de l’Ouest";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:57";"09/10/2026 18:23:51";"";""
"9";"Normandie";"ID-GEO-REG-000009";"28";"";"";"Région française Normandie, code officiel géographique 28, chef-lieu Rouen.";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Rouen";"METROPOLE";"France";"Europe";"Europe de l’Ouest";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:58";"09/10/2026 18:23:52";"";""
"10";"Hauts-de-France";"ID-GEO-REG-000010";"32";"";"";"Région française Hauts-de-France, code officiel géographique 32, chef-lieu Lille.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-REGIONS.csv sans lookup; Operation IMPORT-GEO-REGIONS-SANS-LOOKUP-20260910-202324";"";"";"Lille";"METROPOLE";"France";"Europe";"Europe de l’Ouest";"https://www.insee.fr/fr/information/8740222";"";"";"";"09/10/2026 20:28:59";"09/10/2026 18:23:53";"";""
