"id";"Title";"IDGeoStatut";"CodeStatut";"TypeStatut";"DescriptionStatut";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"État souverain";"ID-GEO-STA-000001";"ETAT-SOUVERAIN";"SOUVERAIN";"État indépendant disposant d’une souveraineté reconnue.";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:16";"09/10/2026 20:12:16";"";""
"2";"Territoire dépendant";"ID-GEO-STA-000002";"TERRITOIRE-DEPENDANT";"DEPENDANCE";"Territoire placé sous la responsabilité ou l’administration d’un autre État.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:17";"09/10/2026 20:12:17";"";""
"3";"Territoire d’outre-mer";"ID-GEO-STA-000003";"TERRITOIRE-OUTRE-MER";"OUTRE-MER";"Territoire géographiquement éloigné de l’État auquel il est rattaché.";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"";""
"4";"Collectivité territoriale";"ID-GEO-STA-000004";"COLLECTIVITE";"COLLECTIVITE";"Entité territoriale disposant d’une organisation administrative propre.";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"";""
"5";"Région administrative";"ID-GEO-STA-000005";"REGION-ADMINISTRATIVE";"ADMINISTRATIF";"Division administrative de premier ou de second niveau.";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"";""
"6";"Département";"ID-GEO-STA-000006";"DEPARTEMENT";"ADMINISTRATIF";"Division administrative rattachée à une région et à un pays.";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:20";"09/10/2026 20:12:20";"";""
"7";"Province";"ID-GEO-STA-000007";"PROVINCE";"ADMINISTRATIF";"Division territoriale ou administrative appelée province.";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:21";"09/10/2026 20:12:21";"";""
"8";"État fédéré";"ID-GEO-STA-000008";"ETAT-FEDERE";"FEDERAL";"Entité politique membre d’un État fédéral.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:22";"09/10/2026 20:12:22";"";""
"9";"Territoire autonome";"ID-GEO-STA-000009";"TERRITOIRE-AUTONOME";"AUTONOME";"Territoire bénéficiant d’un régime d’autonomie particulier.";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:22";"09/10/2026 20:12:22";"";""
"10";"Région autonome";"ID-GEO-STA-000010";"REGION-AUTONOME";"AUTONOME";"Région disposant de compétences autonomes définies juridiquement.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:23";"09/10/2026 20:12:23";"";""
"11";"Zone spéciale";"ID-GEO-STA-000011";"ZONE-SPECIALE";"SPECIAL";"Zone géographique soumise à un statut ou à un régime particulier.";"Oui";"110";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:24";"09/10/2026 20:12:24";"";""
"12";"Zone internationale";"ID-GEO-STA-000012";"ZONE-INTERNATIONALE";"INTERNATIONAL";"Zone relevant d’un régime ou d’une gestion internationale.";"Oui";"120";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:24";"09/10/2026 20:12:24";"";""
