"id";"Title";"IDGeoVille";"CodeVille";"CodePostal";"Latitude";"Longitude";"DescriptionVille";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"Modified";"OBJREF";"DepartementGeo";"Created";"Author";"Editor"
"2";"L'Abergement-Clémenciat";"01001";"01001";"01400";"46.151";"4.921";"";"Oui";"1";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:07:57";"";"";"09/10/2026 09:07:57";"";""
"3";"L'Abergement-de-Varey";"01002";"01002";"01640";"46.007";"5.423";"";"Oui";"2";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:07:58";"";"";"09/10/2026 09:07:58";"";""
"4";"Ambérieu-en-Bugey";"01004";"01004";"01500";"45.958";"5.36";"";"Oui";"3";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:07:59";"";"";"09/10/2026 09:07:59";"";""
"5";"Ambérieux-en-Dombes";"01005";"01005";"01330";"45.996";"4.903";"";"Oui";"4";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:00";"";"";"09/10/2026 09:08:00";"";""
"6";"Ambléon";"01006";"01006";"01300";"45.748";"5.601";"";"Oui";"5";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:00";"";"";"09/10/2026 09:08:00";"";""
"7";"Ambronay";"01007";"01007";"01500";"46.008";"5.361";"";"Oui";"6";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:01";"";"";"09/10/2026 09:08:01";"";""
"8";"Ambutrix";"01008";"01008";"01500";"45.939";"5.337";"";"Oui";"7";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:02";"";"";"09/10/2026 09:08:02";"";""
"9";"Andert-et-Condon";"01009";"01009";"01300";"45.794";"5.656";"";"Oui";"8";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:03";"";"";"09/10/2026 09:08:03";"";""
"10";"Anglefort";"01010";"01010";"01350";"45.914";"5.809";"";"Oui";"9";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:03";"";"";"09/10/2026 09:08:03";"";""
"11";"Apremont";"01011";"01011";"01100";"46.208";"5.659";"";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:04";"";"";"09/10/2026 09:08:04";"";""
"12";"Aranc";"01012";"01012";"01110";"46.003";"5.508";"";"Oui";"11";"Non";"Non";"Non";"Non";"Import GEO-communes-france-2026.csv; Operation IMPORT-GEO-VILLES-20260910-110750";"09/10/2026 09:08:05";"";"";"09/10/2026 09:08:05";"";""
