"id";"Title";"IDGeoZone";"CodeZone";"TypeZone";"DescriptionZone";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"2";"Afrique du Nord";"ID-GEO-ZON-000001";"AFRIQUE-NORD";"SOUS-REGION";"Zone géographique regroupant les territoires du nord du continent africain.";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:07";"09/10/2026 17:56:07";"";""
"3";"Afrique de l'Ouest";"ID-GEO-ZON-000002";"AFRIQUE-OUEST";"SOUS-REGION";"Zone géographique regroupant les territoires de l'ouest du continent africain.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:08";"09/10/2026 17:56:08";"";""
"4";"Afrique centrale";"ID-GEO-ZON-000003";"AFRIQUE-CENTRALE";"SOUS-REGION";"Zone géographique regroupant les territoires du centre du continent africain.";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:09";"09/10/2026 17:56:09";"";""
"5";"Afrique de l'Est";"ID-GEO-ZON-000004";"AFRIQUE-EST";"SOUS-REGION";"Zone géographique regroupant les territoires de l'est du continent africain.";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:10";"09/10/2026 17:56:10";"";""
"6";"Afrique australe";"ID-GEO-ZON-000005";"AFRIQUE-AUSTRALE";"SOUS-REGION";"Zone géographique regroupant les territoires du sud du continent africain.";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:10";"09/10/2026 17:56:10";"";""
"7";"Asie occidentale";"ID-GEO-ZON-000006";"ASIE-OCCIDENTALE";"SOUS-REGION";"Zone géographique regroupant les territoires de l'ouest du continent asiatique.";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:11";"09/10/2026 17:56:11";"";""
"8";"Asie centrale";"ID-GEO-ZON-000007";"ASIE-CENTRALE";"SOUS-REGION";"Zone géographique regroupant les territoires du centre du continent asiatique.";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:12";"09/10/2026 17:56:12";"";""
"9";"Asie méridionale";"ID-GEO-ZON-000008";"ASIE-MERIDIONALE";"SOUS-REGION";"Zone géographique regroupant les territoires du sud du continent asiatique.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:13";"09/10/2026 17:56:13";"";""
"10";"Asie orientale";"ID-GEO-ZON-000009";"ASIE-ORIENTALE";"SOUS-REGION";"Zone géographique regroupant les territoires de l'est du continent asiatique.";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:13";"09/10/2026 17:56:13";"";""
"11";"Asie du Sud-Est";"ID-GEO-ZON-000010";"ASIE-SUD-EST";"SOUS-REGION";"Zone géographique regroupant les territoires du sud-est du continent asiatique.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-ZONES.csv; Operation IMPORT-GEO-ZONES-20260910-195602";"";"09/10/2026 17:56:14";"09/10/2026 17:56:14";"";""
