"id";"Title";"IDJrnGeo";"DateEvenement";"TypeEvenement";"ActionGeo";"ListeGeo";"SourceGeo";"FichierSource";"NbLignes";"NbCreations";"NbMaj";"NbErreurs";"StatutGeo";"DetailsGeo";"Verrouille";"ValidationDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-CONTINENTS.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:16";"09/10/2026 07:50:16";"UserId:11";"UserId:11"
"2";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-DEVISES-IMPORT.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:18";"09/10/2026 07:50:18";"UserId:11";"UserId:11"
"3";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-LANGUES.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:20";"09/10/2026 07:50:20";"UserId:11";"UserId:11"
"4";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-PAYS-IMPORT.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:23";"09/10/2026 07:50:23";"UserId:11";"UserId:11"
"5";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-CAPITALES.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:25";"09/10/2026 07:50:25";"UserId:11";"UserId:11"
"6";"Enregistrement source GEO";"";"10/09/2026 09:50:13";"";"Création";"OBJ-GEO-SOURCE";"";"GEO-communes-france-2026.csv";"";"";"";"";"SUCCES";"";"";"";"";"09/10/2026 07:50:27";"09/10/2026 07:50:27";"UserId:11";"UserId:11"
"7";"Import GEO-DEVISES";"";"10/09/2026 09:59:22";"IMPORT";"Chargement GEO-DEVISES-IMPORT.csv";"OBJ-GEO-DEVISE";"CSV";"GEO-DEVISES-IMPORT.csv";"154";"154";"0";"0";"SUCCES";"Import devises terminé";"";"";"";"09/10/2026 08:03:11";"09/10/2026 08:03:11";"UserId:11";"UserId:11"
"8";"DEBUT GEO-VILLES";"JRN-GEO-20260910110754024";"10/09/2026 11:07:54";"DEBUT";"DEBUT import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=34868; Reprise=0; Taille lot=5000";"Non";"Non";"";"09/10/2026 09:07:56";"09/10/2026 09:07:56";"UserId:11";"UserId:11"
"9";"ACTION GEO-VILLES";"JRN-GEO-20260910121455258";"10/09/2026 12:14:55";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"5000";"5000";"0";"0";"LOT TERMINE";"Lot=1; Fin=5000; Creations=5000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 10:14:57";"09/10/2026 10:14:57";"UserId:11";"UserId:11"
"10";"ACTION GEO-VILLES";"JRN-GEO-20260910132340597";"10/09/2026 13:23:40";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"10000";"10000";"0";"0";"LOT TERMINE";"Lot=2; Fin=10000; Creations=10000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 11:23:43";"09/10/2026 11:23:43";"UserId:11";"UserId:11"
"11";"ACTION GEO-VILLES";"JRN-GEO-20260910143219004";"10/09/2026 14:32:19";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"15000";"15000";"0";"0";"LOT TERMINE";"Lot=3; Fin=15000; Creations=15000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 12:32:20";"09/10/2026 12:32:20";"UserId:11";"UserId:11"
"12";"ACTION GEO-VILLES";"JRN-GEO-20260910154218277";"10/09/2026 15:42:18";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"20000";"20000";"0";"0";"LOT TERMINE";"Lot=4; Fin=20000; Creations=20000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 13:42:20";"09/10/2026 13:42:20";"UserId:11";"UserId:11"
"13";"ACTION GEO-VILLES";"JRN-GEO-20260910165018383";"10/09/2026 16:50:18";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"25000";"25000";"0";"0";"LOT TERMINE";"Lot=5; Fin=25000; Creations=25000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 14:50:20";"09/10/2026 14:50:20";"UserId:11";"UserId:11"
"14";"ACTION GEO-VILLES";"JRN-GEO-20260910175709681";"10/09/2026 17:57:09";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"30000";"30000";"0";"0";"LOT TERMINE";"Lot=6; Fin=30000; Creations=30000; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 15:57:11";"09/10/2026 15:57:11";"UserId:11";"UserId:11"
"15";"ACTION GEO-VILLES";"JRN-GEO-20260910190310008";"10/09/2026 19:03:10";"ACTION";"ACTION import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"34868";"34868";"0";"0";"LOT TERMINE";"Lot=7; Fin=34868; Creations=34868; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 17:03:11";"09/10/2026 17:03:11";"UserId:11";"UserId:11"
"16";"FIN GEO-VILLES";"JRN-GEO-20260910190312839";"10/09/2026 19:03:12";"FIN";"FIN import GEO-communes-france-2026.csv";"OBJ-GEO-VILLE";"CSV";"GEO-communes-france-2026.csv";"34868";"34868";"0";"0";"SUCCES";"Total=34868; Creations=34868; Ignores=0; Erreurs=0";"Non";"Non";"";"09/10/2026 17:03:14";"09/10/2026 17:03:14";"UserId:11";"UserId:11"
"17";"DEBUT GEO-ZONES";"JRN-GEO-20260910195604571";"10/09/2026 19:56:04";"DEBUT";"DEBUT import GEO-ZONES.csv";"OBJ-GEO-ZONE";"CSV";"GEO-ZONES.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=35; Reprise=0; Taille lot=20";"Non";"Non";"";"09/10/2026 17:56:06";"09/10/2026 17:56:06";"UserId:11";"UserId:11"
"18";"ACTION GEO-ZONES";"JRN-GEO-20260910195621446";"10/09/2026 19:56:21";"ACTION";"ACTION import GEO-ZONES.csv";"OBJ-GEO-ZONE";"CSV";"GEO-ZONES.csv";"20";"20";"0";"1";"LOT TERMINE";"Lot=1; Fin=20; Creations=20; Ignores=0; Erreurs=1";"Non";"Non";"";"09/10/2026 17:56:22";"09/10/2026 17:56:22";"UserId:11";"UserId:11"
"19";"ACTION GEO-ZONES";"JRN-GEO-20260910195634796";"10/09/2026 19:56:34";"ACTION";"ACTION import GEO-ZONES.csv";"OBJ-GEO-ZONE";"CSV";"GEO-ZONES.csv";"35";"35";"0";"1";"LOT TERMINE";"Lot=2; Fin=35; Creations=35; Ignores=0; Erreurs=1";"Non";"Non";"";"09/10/2026 17:56:36";"09/10/2026 17:56:36";"UserId:11";"UserId:11"
"20";"FIN GEO-ZONES";"JRN-GEO-20260910195636509";"10/09/2026 19:56:36";"FIN";"FIN import GEO-ZONES.csv";"OBJ-GEO-ZONE";"CSV";"GEO-ZONES.csv";"35";"35";"0";"1";"";"Total=35; Creations=35; Ignores=0; Erreurs=1";"Non";"Non";"";"09/10/2026 17:56:37";"09/10/2026 17:56:37";"UserId:11";"UserId:11"
"21";"DEBUT GEO-REGIONS";"JRN-GEO-20260910200257176";"10/09/2026 20:02:57";"DEBUT";"DEBUT import GEO-REGIONS.csv";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=18; Reprise=0; Taille lot=10";"Non";"Non";"";"09/10/2026 18:02:58";"09/10/2026 18:02:58";"UserId:11";"UserId:11"
"22";"ACTION GEO-REGIONS";"JRN-GEO-20260910200323602";"10/09/2026 20:03:23";"ACTION";"ACTION import GEO-REGIONS.csv";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"10";"0";"0";"10";"LOT TERMINE";"Lot=1; Fin=10; Creations=0; Ignores=0; Erreurs=10";"Non";"Non";"";"09/10/2026 18:03:24";"09/10/2026 18:03:24";"UserId:11";"UserId:11"
"23";"ACTION GEO-REGIONS";"JRN-GEO-20260910200325051";"10/09/2026 20:03:25";"ACTION";"ACTION import GEO-REGIONS.csv";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"18";"0";"0";"18";"LOT TERMINE";"Lot=2; Fin=18; Creations=0; Ignores=0; Erreurs=18";"Non";"Non";"";"09/10/2026 18:03:27";"09/10/2026 18:03:27";"UserId:11";"UserId:11"
"24";"FIN GEO-REGIONS";"JRN-GEO-20260910200326571";"10/09/2026 20:03:26";"FIN";"FIN import GEO-REGIONS.csv";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"18";"0";"0";"18";"A CONTROLER";"Total=18; Creations=0; Ignores=0; Erreurs=18";"Non";"Non";"";"09/10/2026 18:03:27";"09/10/2026 18:03:27";"UserId:11";"UserId:11"
"25";"DEBUT GEO-REGIONS SANS LOOKUP";"JRN-GEO-20260910202326546";"10/09/2026 20:23:26";"DEBUT";"DEBUT import GEO-REGIONS.csv sans lookup";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=18; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:23:28";"09/10/2026 18:23:28";"UserId:11";"UserId:11"
"26";"ACTION GEO-REGIONS SANS LOOKUP";"JRN-GEO-20260910202352512";"10/09/2026 20:23:52";"ACTION";"ACTION import GEO-REGIONS.csv sans lookup";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"10";"10";"0";"0";"LOT TERMINE";"Lot=1; Fin=10; Creations=10; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:23:53";"09/10/2026 18:23:53";"UserId:11";"UserId:11"
"27";"ACTION GEO-REGIONS SANS LOOKUP";"JRN-GEO-20260910202400108";"10/09/2026 20:24:00";"ACTION";"ACTION import GEO-REGIONS.csv sans lookup";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"18";"18";"0";"0";"LOT TERMINE";"Lot=2; Fin=18; Creations=18; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:24:01";"09/10/2026 18:24:01";"UserId:11";"UserId:11"
"28";"FIN GEO-REGIONS SANS LOOKUP";"JRN-GEO-20260910202401083";"10/09/2026 20:24:01";"FIN";"FIN import GEO-REGIONS.csv sans lookup";"OBJ-GEO-REGION";"CSV";"GEO-REGIONS.csv";"18";"18";"0";"0";"SUCCES";"Total=18; Creations=18; Ignores=0; Erreurs=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:24:02";"09/10/2026 18:24:02";"UserId:11";"UserId:11"
"29";"DEBUT GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203025853";"10/09/2026 20:30:25";"DEBUT";"DEBUT import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"0";"0";"0";"0";"EN COURS";"Total CSV=101; Reprise=0; Import sans lookup";"Non";"Non";"";"09/10/2026 18:30:27";"09/10/2026 18:30:27";"UserId:11";"UserId:11"
"30";"ACTION GEO-DEPARTEMENTS SANS LOOKUP";"JRN-GEO-20260910203102796";"10/09/2026 20:31:02";"ACTION";"ACTION import GEO-DEPARTEMENTS.csv sans lookup";"OBJ-GEO-DEPARTEMENT";"CSV";"GEO-DEPARTEMENTS.csv";"25";"25";"0";"0";"LOT TERMINE";"Lot=1; Fin=25; Creations=25; Ignores=0; Erreurs=0; Sans lookup";"Non";"Non";"";"09/10/2026 18:31:04";"09/10/2026 18:31:04";"UserId:11";"UserId:11"
