"id";"Title";"OBJ";"IDACT";"IDREL";"DATEEVENEMENT";"ACTION";"ANCIENNEVALEUR";"NOUVELLEVALEUR";"ACTEUR";"ANOMALIEDETECTEE";"CONTROLEPASCARA";"VERROUILLE";"NOTES";"IDJRN";"OBJREF";"CODE";"NOM";"STATUT";"ANOMALIE";"SCRIPTSOURCE";"TYPEEVENEMENTREF";"SOURCEREF";"RESULTATREF";"Modified";"Created";"Author";"Editor"
"1";"JRN-OBJ-APP-DSE-000001-0001";"";"";"";"09/04/2026 17:28:23";"Création du premier objet pilote Application DemainSite";"";"ID-OBJ=OBJ-APP-DSE-000001; statut=Test; qualité=Expérimental; verrouillé=Non";"";"Non";"Non";"Non";"Création demandée par l’utilisateur via Copilot dans SharePoint. Affectations et relations non créées faute d’acteurs et de cibles explicitement désignés.";"JRN-OBJ-APP-DSE-000001-0001";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - IA | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:31";"09/04/2026 17:29:08";"";""
"2";"OBJ-JRN-DSE-F-000018-001";"";"";"";"09/05/2026 12:00:00";"Création et journalisation de la décision fondatrice DSE-F-000018";"Aucune décision DSE-F-000018 existante dans OBJ.";"Décision fondatrice « Interdiction des saisies manuelles évitables dans OBJ » créée avec le statut VALIDÉ OFFICIELLEMENT. Règle : aucune donnée métier, classification, relation, responsabilité, acteur ou provenance en texte libre lorsqu’un OBJ-REF, OBJ-REL, OBJ-ACT, Lookup ou une valeur système automatique en lecture seule peut la gérer.";"";"Oui";"Oui";"Oui";"Autorité : Pascal ZIMMER, Super Administrateur. Source : Rapport_Audit_OBJ_Anti_Manuel.txt. Constat journalisé : OBJ partiellement conforme ; 27 colonnes manuelles à remplacer à terme ; 10 colonnes OBJ-REF conformes. Aucune colonne corrigée, aucune donnée supprimée, aucune structure modifiée, aucune des 27 anomalies traitée.";"OBJ-JRN-DSE-F-000018-001";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - IA | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:32";"09/05/2026 05:47:07";"";""
"3";"DSE-AUDIT-REF-011";"";"";"";"";"Archivage OBJ-PWR";"";"";"";"Non";"Non";"Non";"OBJ reste la liste principale du DSE.

REF-00 à REF-90 restent les référentiels officiels.

OBJ-PWR est archivé en ZZ-OBJ-PWR.

Aucune migration complémentaire retenue.

Aucune création de doublon.

Toute évolution future devra être intégrée directement dans OBJ ou dans les référentiels officiels existants.

Fin d'audit.";"DSE-AUDIT-REF-011";"JOURNAL - TYPEEVENEMENT - DECISION_ARCHITECTURE | JOURNAL - SOURCE - Audit DSE | JOURNAL - RESULTAT - VALIDE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:34";"09/07/2026 09:04:46";"";""
"4";"JRN-20260907110911230";"";"";"";"";"Création OBJ";"";"";"";"Non";"Non";"Non";"";"JRN-20260907110911230";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:35";"09/07/2026 09:09:12";"";""
"5";"JRN-20260907110929464";"";"";"";"";"Correction catégorie";"PWR";"PAGE";"";"Non";"Non";"Non";"";"JRN-20260907110929464";"JOURNAL - TYPEEVENEMENT - CORRECTION | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:37";"09/07/2026 09:09:31";"";""
"6";"JRN-20260907110941086";"";"";"";"";"OBJ-PWR -> ZZ-OBJ-PWR";"";"";"";"Non";"Non";"Non";"";"JRN-20260907110941086";"JOURNAL - TYPEEVENEMENT - ARCHIVAGE | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:39";"09/07/2026 09:09:42";"";""
"7";"JRN-20260907110954063";"";"";"";"";"Audit REF-00 à REF-90";"";"";"";"Non";"Non";"Non";"";"JRN-20260907110954063";"JOURNAL - TYPEEVENEMENT - AUDIT | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - TERMINE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:39";"09/07/2026 09:09:55";"";""
"8";"JRN-20260907111058268";"";"";"";"";"Création Objet Client";"";"";"";"Non";"Non";"Non";"";"";"JOURNAL - TYPEEVENEMENT - DEBUT | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - DEMARRAGE";"";"";"";"";"";"";"";"";"09/17/2026 13:40:41";"09/07/2026 09:11:00";"";""
"9";"JRN-20260907111100440";"";"";"";"";"Création OBJ";"";"";"";"Non";"Non";"Non";"";"";"JOURNAL - TYPEEVENEMENT - CREATION | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - SUCCES";"";"";"";"";"";"";"";"";"09/17/2026 13:40:42";"09/07/2026 09:11:02";"";""
"10";"JRN-20260907111102916";"";"";"";"";"Création OBJ";"";"";"";"Non";"Non";"Non";"Field NOTES not present in list.";"";"JOURNAL - TYPEEVENEMENT - ERREUR | JOURNAL - SOURCE - Script DSE | JOURNAL - RESULTAT - ECHEC";"";"";"";"";"";"";"";"";"09/17/2026 13:40:45";"09/07/2026 09:11:04";"";""
