"id";"Title";"IDLST";"NOMLISTE";"TITREAFFICHAGE";"DESCRIPTIONDSE";"URLLISTE";"ACTIVE";"VERROUILLEE";"NBCOLONNES";"NBELEMENTS";"NBVUES";"VERSIONDSE";"DERNIERAUDIT";"DERNIEREMAJ";"PROPRIETAIRE";"EQUIPE";"COMMENTAIRES";"ACTIFDSE";"DOMAINE";"TYPELISTE";"STATUTLISTE";"VALIDER";"Modified";"Created";"Author";"Editor"
"54";"OBJ";"5926381b-d3da-4dfb-a9bd-4753688734ae";"OBJ";"OBJ";"Registre central des objets DSE, enrichi des données géographiques issues de PAY avec traçabilité complète de migration.";"@{Description=/sites/Bibliotheque/Lists/OBJ/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJ/AllItems.aspx}";"Oui";"Non";"74";"237";"9";"";"09/19/2026 09:25:58";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:01";"09/17/2026 07:35:25";"";""
"55";"OBJ-ACT";"a02ecfef-518a-4ba2-b22f-c29ca28ffc8f";"OBJ-ACT";"OBJ-ACT";"Affectations OBJ → ACTEUR → ROLE → RESPONSABILITE → PERIODE pour le pilote Application DemainSite.";"@{Description=/sites/Bibliotheque/Lists/OBJACT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJACT/AllItems.aspx}";"Oui";"Non";"43";"0";"1";"";"09/19/2026 09:26:04";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:07";"09/17/2026 07:35:26";"";""
"56";"OBJ-AUDIT";"d60e1b79-83b7-492b-89cb-ec6a53c77e06";"OBJ-AUDIT";"OBJ-AUDIT";"";"@{Description=/sites/Bibliotheque/Lists/OBJAUDIT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJAUDIT/AllItems.aspx}";"Oui";"Non";"39";"2";"1";"";"09/19/2026 09:26:08";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:12";"09/17/2026 07:35:26";"";""
"57";"OBJ-GEO-CAPITALE";"8f957a5e-d675-44ba-9450-7009f5c73897";"OBJ-GEO-CAPITALE";"OBJ-GEO-CAPITALE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOCAPITALE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCAPITALE/AllItems.aspx}";"Oui";"Non";"51";"249";"6";"";"09/19/2026 09:26:23";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:26";"09/17/2026 07:35:27";"";""
"58";"OBJ-GEO-CONTINENT";"e5a7ebd0-61d8-42d2-866b-96f44dc23cb2";"OBJ-GEO-CONTINENT";"OBJ-GEO-CONTINENT";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOCONTINENT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOCONTINENT/AllItems.aspx}";"Oui";"Non";"45";"7";"6";"";"09/19/2026 09:26:26";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:28";"09/17/2026 07:35:28";"";""
"59";"OBJ-GEO-DEPARTEMENT";"1a26a0b2-f4bb-4603-a896-994c2ab59dc0";"OBJ-GEO-DEPARTEMENT";"OBJ-GEO-DEPARTEMENT";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEODEPARTEMENT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEPARTEMENT/AllItems.aspx}";"Oui";"Non";"57";"101";"6";"";"09/19/2026 09:26:29";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:31";"09/17/2026 07:35:29";"";""
"60";"OBJ-GEO-DEVISE";"5e935b55-bc71-4694-817b-39575d31b18c";"OBJ-GEO-DEVISE";"OBJ-GEO-DEVISE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEODEVISE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEODEVISE/AllItems.aspx}";"Oui";"Non";"46";"154";"6";"";"09/19/2026 09:26:32";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:34";"09/17/2026 07:35:30";"";""
"61";"OBJ-GEO-FUSEAU-HORAIRE";"88db0c8f-a8b6-41a3-8ce7-b6436c8ab9ad";"OBJ-GEO-FUSEAU-HORAIRE";"OBJ-GEO-FUSEAU-HORAIRE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOFUSEAUHORAIRE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOFUSEAUHORAIRE/AllItems.aspx}";"Oui";"Non";"47";"38";"6";"";"09/19/2026 09:26:34";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:37";"09/17/2026 07:35:30";"";""
"62";"OBJ-GEO-LANGUE";"de1a3582-158d-46df-b725-e2900b93f648";"OBJ-GEO-LANGUE";"OBJ-GEO-LANGUE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOLANGUE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOLANGUE/AllItems.aspx}";"Oui";"Non";"48";"112";"17";"";"09/19/2026 09:26:37";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:39";"09/17/2026 07:35:31";"";""
"63";"OBJ-GEO-NATIONALITE";"05efde5f-9e58-4c41-9970-fa6f3075c709";"OBJ-GEO-NATIONALITE";"OBJ-GEO-NATIONALITE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEONATIONALITE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEONATIONALITE/AllItems.aspx}";"Oui";"Non";"51";"249";"6";"";"09/19/2026 09:26:39";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:42";"09/17/2026 07:35:32";"";""
"64";"OBJ-GEO-PAYS";"df3f7198-8701-4e50-8c2e-5b3ba81fd8f1";"OBJ-GEO-PAYS";"OBJ-GEO-PAYS";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOPAYS/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOPAYS/AllItems.aspx}";"Oui";"Non";"57";"249";"6";"";"09/19/2026 09:26:42";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:45";"09/17/2026 07:35:33";"";""
"65";"OBJ-GEO-REGION";"bb590d24-239b-48f7-be43-4db0b101e855";"OBJ-GEO-REGION";"OBJ-GEO-REGION";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOREGION/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOREGION/AllItems.aspx}";"Oui";"Non";"59";"18";"6";"";"09/19/2026 09:26:45";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:47";"09/17/2026 07:35:34";"";""
"66";"OBJ-GEO-SOURCE";"ca7c9dee-79a8-4db6-ad48-9cc639a45ad4";"OBJ-GEO-SOURCE";"OBJ-GEO-SOURCE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOSOURCE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSOURCE/AllItems.aspx}";"Oui";"Non";"57";"6";"4";"";"09/19/2026 09:26:47";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:50";"09/17/2026 07:35:34";"";""
"67";"OBJ-GEO-STATUT";"3526af04-b199-411e-921a-9e6b3b29efbb";"OBJ-GEO-STATUT";"OBJ-GEO-STATUT";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOSTATUT/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOSTATUT/AllItems.aspx}";"Oui";"Non";"46";"22";"6";"";"09/19/2026 09:26:50";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:52";"09/17/2026 07:35:35";"";""
"68";"OBJ-GEO-TERRITOIRE";"6db67fd3-1f15-4202-bc8c-98fa2c125be1";"OBJ-GEO-TERRITOIRE";"OBJ-GEO-TERRITOIRE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOTERRITOIRE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOTERRITOIRE/AllItems.aspx}";"Oui";"Non";"54";"9";"5";"";"09/19/2026 09:26:53";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:55";"09/17/2026 07:35:36";"";""
"69";"OBJ-GEO-VILLE";"fb46e228-0b24-44a0-8256-5720bd97dd84";"OBJ-GEO-VILLE";"OBJ-GEO-VILLE";"";"@{Description=/sites/Bibliotheque/Lists/OBJGEOVILLE/AllItems.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/Lists/OBJGEOVILLE/AllItems.aspx}";"Oui";"Non";"53";"34868";"6";"";"09/19/2026 09:26:55";"";"";"";"";"Oui";"";"";"";"";"09/19/2026 07:26:58";"09/17/2026 07:35:37";"";""
