"id";"Title";"CODEPAGE";"NOMPAGE";"URLPAGE";"EQUIPE";"DESCRIPTION";"NBUSAGES";"DATEDERNIERCONTROLE";"ACTIF";"VERROUILLE";"SITEINTRANET";"TYPEPAGE";"USAGE";"STATUTPAGE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"Catalogue OBJ-REF";"PAG-OBJ-REF";"Catalogue OBJ-REF";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-REF.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-REF.aspx}";"";"Page de detail de la liste OBJ-REF";"1";"09/18/2026 17:24:29";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:15";"09/18/2026 15:24:31";"";""
"2";"Catalogue OBJ-SCR-70";"PAG-OBJ-SCR-70";"Catalogue OBJ-SCR-70";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-70.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-SCR-70.aspx}";"";"Page de detail de la liste OBJ-SCR-70";"1";"09/18/2026 17:24:31";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:28";"09/18/2026 15:24:33";"";""
"3";"Journal OBJ-JRN";"PAG-OBJ-JRN";"Journal OBJ-JRN";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-JRN.aspx}";"";"Page de detail de la liste OBJ-JRN";"1";"09/18/2026 17:24:33";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:53";"09/18/2026 15:24:35";"";""
"4";"Catalogue OBJ-LST";"PAG-OBJ-LST";"Catalogue OBJ-LST";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-LST.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-LST.aspx}";"";"Page de detail de la liste OBJ-LST";"1";"09/18/2026 17:24:35";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:59";"09/18/2026 15:24:36";"";""
"5";"Toutes les listes SharePoint DSE";"PAG-TOUTES-LISTES";"Toutes les listes SharePoint DSE";"@{Description=/sites/Bibliotheque/SitePages/DSE-Toutes-les-Listes.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Toutes-les-Listes.aspx}";"";"Page generale recensant les pages de detail de chaque liste DSE.";"55";"09/18/2026 17:24:36";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:40:41";"09/18/2026 15:24:38";"";""
"6";"OBJ";"PAG-OBJ";"OBJ";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ.aspx}";"";"Page de detail de la liste OBJ";"1";"09/19/2026 07:56:09";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:15";"09/19/2026 05:56:11";"";""
"7";"OBJ-ACT";"PAG-OBJ-ACT";"OBJ-ACT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ACT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-ACT.aspx}";"";"Page de detail de la liste OBJ-ACT";"1";"09/19/2026 07:56:11";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:18";"09/19/2026 05:56:13";"";""
"8";"Catalogue OBJ-AUD";"PAG-OBJ-AUD";"Catalogue OBJ-AUD";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUD.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUD.aspx}";"";"Page de detail de la liste OBJ-AUD";"1";"09/19/2026 07:56:12";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:20";"09/19/2026 05:56:14";"";""
"9";"OBJ-AUDIT";"PAG-OBJ-AUDIT";"OBJ-AUDIT";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUDIT.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-AUDIT.aspx}";"";"Page de detail de la liste OBJ-AUDIT";"1";"09/19/2026 07:56:14";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:21";"09/19/2026 05:56:16";"";""
"10";"Catalogue OBJ-DEP";"PAG-OBJ-DEP";"Catalogue OBJ-DEP";"@{Description=/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-DEP.aspx; Url=https://blogssite.sharepoint.com/sites/Bibliotheque/SitePages/DSE-Liste-OBJ-DEP.aspx}";"";"Page de detail de la liste OBJ-DEP";"1";"09/19/2026 07:56:15";"Oui";"Non";"";"";"";"";"";"09/19/2026 07:39:29";"09/19/2026 05:56:18";"";""
