"id";"Title";"CODESCRIPT";"NOMSCRIPT";"DESCRIPTIONSCRIPT";"ORDREEXECUTION";"VERSIONSCRIPT";"CHEMINSCRIPT";"NOTES";"OBJREF";"TYPESCRIPTREF";"STATUTSCRIPTREF";"JOURNALISATIONREF";"EXISTENCESCRIPTREF";"ACTIFREF";"VERROUILLEREF";"Modified";"Created";"Author";"Editor"
"1";"40-00";"40-00";"40-00";"";"";"";"40-MISE-A-JOUR\40-00.ps1";"Ajout automatique par 40-02. OBJ-REF à valider manuellement.";"";"";"";"";"";"";"";"09/18/2026 11:21:42";"09/18/2026 10:59:39";"";""
"2";"40-01-migration-obj-jrn";"40-01-migration-obj-jrn";"40-01-migration-obj-jrn";"";"";"";"40-MISE-A-JOUR\40-01-migration-obj-jrn.ps1";"Ajout automatique par 40-02. OBJ-REF à valider manuellement.";"";"";"";"";"";"";"";"09/18/2026 11:21:44";"09/18/2026 10:59:39";"";""
"3";"40-02-synchronisation-catalogues";"40-02-synchronisation-catalogues";"40-02-synchronisation-catalogues";"";"";"";"40-MISE-A-JOUR\40-02-synchronisation-catalogues.ps1";"Ajout automatique par 40-02. OBJ-REF à valider manuellement.";"";"";"";"";"";"";"";"09/18/2026 11:21:45";"09/18/2026 10:59:41";"";""
"4";"40-03-migration-catalogues-vers-obj-ref";"40-03-migration-catalogues-vers-obj-ref";"40-03-migration-catalogues-vers-obj-ref";"";"";"";"40-MISE-A-JOUR\40-03-migration-catalogues-vers-obj-ref.ps1";"Ajout automatique par 40-02. OBJ-REF à valider manuellement.";"";"";"";"";"";"";"";"09/18/2026 12:33:38";"09/18/2026 12:33:38";"";""
"5";"40-04-publication-sources-groupe-70";"40-04-publication-sources-groupe-70";"";"";"";"";"40-MISE-A-JOUR\40-04-publication-sources-groupe-70.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:01";"09/19/2026 08:42:51";"";""
"6";"40-05-creation-catalogues-pages";"40-05-creation-catalogues-pages";"";"";"";"";"40-MISE-A-JOUR\40-05-creation-catalogues-pages.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:02";"09/19/2026 08:42:52";"";""
"7";"40-06-generation-pages-listes";"40-06-generation-pages-listes";"";"";"";"";"40-MISE-A-JOUR\40-06-generation-pages-listes.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:03";"09/19/2026 08:42:54";"";""
"8";"40-07-creation-catalogues-automation";"40-07-creation-catalogues-automation";"";"";"";"";"40-MISE-A-JOUR\40-07-creation-catalogues-automation.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:03";"09/19/2026 08:42:55";"";""
"9";"40-08-creation-listes-futures";"40-08-creation-listes-futures";"";"";"";"";"40-MISE-A-JOUR\40-08-creation-listes-futures.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:04";"09/19/2026 08:42:57";"";""
"10";"40-09-creation-catalogue-bibliotheques";"40-09-creation-catalogue-bibliotheques";"";"";"";"";"40-MISE-A-JOUR\40-09-creation-catalogue-bibliotheques.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:05";"09/19/2026 08:42:59";"";""
"11";"40-10-televersement-scripts-dse-outils";"40-10-televersement-scripts-dse-outils";"";"";"";"";"40-MISE-A-JOUR\40-10-televersement-scripts-dse-outils.ps1";"";"";"";"";"";"";"";"";"09/19/2026 09:11:06";"09/19/2026 08:42:59";"";""
