"id";"Title";"CODESCRIPT";"NOMSCRIPT";"ORDREEXECUTION";"DOMAINE";"FONCTIONPRINCIPALE";"UTILITE";"TYPEOBJET";"STATUTCATALOGUE";"VERSIONCIBLE";"SOURCEOFFICIELLE";"NOTES";"OBJREF";"CODESCRIPT0";"NOMSCRIPT0";"DESCRIPTIONSCRIPT";"ORDREEXECUTION0";"EXISTENCESCRIPT0";"VERSIONSCRIPT";"CHEMINSCRIPT";"TYPESCRIPTREF";"STATUTSCRIPTREF";"JOURNALISATIONREF";"EXISTENCESCRIPTREF";"ACTIFREF";"VERROUILLEREF";"NBUSAGESSHAREPOINT";"NBUSAGESSCRIPTS";"NBUSAGESTOTAL";"NBDOUBLONSCATALOGUE";"STATUTPROTECTION";"DATEDERNIERCONTROLEUSAGES";"Modified";"Created";"Author";"Editor"
"21";"70-01.ps1";"70-01";"70-01.ps1";"1";"ND";"Get-DSEContext";"Fonction PowerShell Get-DSEContext du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-01.ps1";"Taille=1021 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Get-DSEContext; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - INFRASTRUCTURE";"";"";"";"";"";"";"70-OUTILS\70-01.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:08";"09/17/2026 12:15:48";"";""
"22";"70-02.ps1";"70-02";"70-02.ps1";"2";"ND";"Get-DSEScriptInventory";"Fonction PowerShell Get-DSEScriptInventory du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-02.ps1";"Taille=996 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Get-DSEScriptInventory; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - INFRASTRUCTURE";"";"";"";"";"";"";"70-OUTILS\70-02.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:09";"09/17/2026 12:15:49";"";""
"23";"70-03.ps1";"70-03";"70-03.ps1";"3";"ND";"Get-DSEObjScrInventory";"Fonction PowerShell Get-DSEObjScrInventory du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-03.ps1";"Taille=894 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Get-DSEObjScrInventory; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - INFRASTRUCTURE";"";"";"";"";"";"";"70-OUTILS\70-03.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:10";"09/17/2026 12:15:50";"";""
"24";"70-04.ps1";"70-04";"70-04.ps1";"4";"ND";"ConvertTo-DSEScriptCode";"Fonction PowerShell ConvertTo-DSEScriptCode du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-04.ps1";"Taille=666 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=ConvertTo-DSEScriptCode; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - ANALYSE";"";"";"";"";"";"";"70-OUTILS\70-04.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:11";"09/17/2026 12:15:51";"";""
"25";"70-05.ps1";"70-05";"70-05.ps1";"5";"ND";"Compare-DSEScriptToRegistry";"Fonction PowerShell Compare-DSEScriptToRegistry du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-05.ps1";"Taille=1453 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Compare-DSEScriptToRegistry; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - ANALYSE";"";"";"";"";"";"";"70-OUTILS\70-05.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:12";"09/17/2026 12:15:51";"";""
"26";"70-06.ps1";"70-06";"70-06.ps1";"6";"ND";"Find-DSECodeDuplicates";"Fonction PowerShell Find-DSECodeDuplicates du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-06.ps1";"Taille=502 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Find-DSECodeDuplicates; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - INFRASTRUCTURE";"";"";"";"";"";"";"70-OUTILS\70-06.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:13";"09/17/2026 12:15:52";"";""
"27";"70-07.ps1";"70-07";"70-07.ps1";"7";"ND";"Get-DSEScriptSignature";"Fonction PowerShell Get-DSEScriptSignature du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-07.ps1";"Taille=1287 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Get-DSEScriptSignature; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - ANALYSE";"";"";"";"";"";"";"70-OUTILS\70-07.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:15";"09/17/2026 12:15:53";"";""
"28";"70-08.ps1";"70-08";"70-08.ps1";"8";"ND";"Compare-DSEScriptSignature";"Fonction PowerShell Compare-DSEScriptSignature du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-08.ps1";"Taille=753 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Compare-DSEScriptSignature; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - GOUVERNANCE";"";"";"";"";"";"";"70-OUTILS\70-08.ps1";"";"";"";"";"";"";"0";"0";"0";"0";"RESERVE-FUTUR-A-ORCHESTRER";"09/18/2026 14:28:52";"09/19/2026 09:11:16";"09/17/2026 12:15:54";"";""
"29";"70-09.ps1";"70-09";"70-09.ps1";"9";"ND";"New-DSEObjScrValues";"Fonction PowerShell New-DSEObjScrValues du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-09.ps1";"Taille=859 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=New-DSEObjScrValues; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - GOUVERNANCE";"";"";"";"";"";"";"70-OUTILS\70-09.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:16";"09/17/2026 12:15:54";"";""
"30";"70-10.ps1";"70-10";"70-10.ps1";"10";"ND";"Add-DSEObjScrRow";"Fonction PowerShell Add-DSEObjScrRow du groupe 70-OUTILS.";"OUTIL-FONCTION-INDIVIDUELLE";"PROPOSITION-B-A-A-VALIDER";"V0.1.0";"Fichier local: C:\Users\PascalZIMMER_b9lyro1\DemainSite\DEM - Ecosysteme - DSE-OUTILS\SCRIPTS\70-OUTILS\70-10.ps1";"Taille=463 octets; Derniere modification=2026-09-16T12:06:24; Fonction PowerShell=Add-DSEObjScrRow; Preuve=analyse AST locale; Placeholder=False";"OUTIL - FONCTION INDIVIDUELLE | PROPOSITION B-A - A VALIDER | EXISTENCE SCRIPT - NON VERIFIEE | DOMAINE - GOUVERNANCE";"";"";"";"";"";"";"70-OUTILS\70-10.ps1";"";"";"";"";"";"";"0";"1";"1";"0";"PROTEGE-UTILISE";"09/18/2026 14:28:52";"09/19/2026 09:11:17";"09/17/2026 12:15:55";"";""
