"id";"Title";"CODESCRIPT";"NOMSCRIPT";"DESCRIPTIONSCRIPT";"TYPESCRIPT";"DOMAINE";"PROPRIETAIRE";"STATUTSCRIPT";"VERSIONSCRIPT";"CHEMINSCRIPT";"JOURNALISATION";"DATECREATION";"DATEDERNIEREMODIFICATION";"DATEDERNIEREEXECUTION";"ACTIF";"VERROUILLE";"NOTES";"TitreScript";"DescriptionCourte";"NoteScript";"ObjRef00";"ModeleOrigine";"ScriptParent";"UrlScript";"DateGeneration";"DateMaj";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"DSE-LST-001";"DSE-LST-001";"DSE-LST-001";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"2";"DSE-LST-002";"DSE-LST-002";"DSE-LST-002";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"3";"DSE-LST-003";"DSE-LST-003";"DSE-LST-003";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"4";"DSE-ORG-001";"DSE-ORG-001";"DSE-ORG-001";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"5";"DSE-ORG-002";"DSE-ORG-002";"DSE-ORG-002";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"6";"DSE-ORG-003";"DSE-ORG-003";"DSE-ORG-003";"";"INDIVIDUEL";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"7";"DSE-AUDIT-GLOBAL";"DSE-AUDIT-GLOBAL";"DSE-AUDIT-GLOBAL";"";"AUDIT";"";"";"BROUILLON";"";"";"OUI";"09/12/2026 12:28:47";"";"";"Oui";"Non";"";"";"";"";"";"";"";"";"09/12/2026 12:28:47";"";"";"09/12/2026 12:29:06";"09/12/2026 12:29:06";"";""
"8";"DSE-LST-004-SYNCHRONISATION-OBJ-LST";"DSE-LST-004";"DSE-LST-004-SYNCHRONISATION-OBJ-LST";"Audit complet de synchronisation SharePoint vers OBJ-LST, avec décisions de validation en fin de contrôle et sans suppression de lignes OBJ-LST.";"MAINTENANCE";"";"";"TEST";"1.5.0-REV-K";"/sites/Bibliotheque/DSEOUTILS/SCRIPTS/MAINTENANCE/DSE-LST-004-SYNCHRONISATION-OBJ-LST-REV-K.ps1";"OUI";"09/12/2026 12:47:46";"09/12/2026 12:47:46";"";"Oui";"Non";"Journalisation OBJ-JRN implémentée dans le script; exécution à confirmer.";"";"";"Journalisation OBJ-JRN implémentée dans le script; exécution à confirmer.";"";"";"";"";"09/12/2026 12:47:46";"09/12/2026 12:47:46";"";"09/12/2026 12:47:53";"09/12/2026 12:47:53";"";""
"9";"DSE-AUDIT-001-MVP-PNP";"DSE-AUDIT-001-MVP-PNP";"DSE-AUDIT-001-MVP-PNP";"Audit automatique OBJ-LST vers OBJ-JRN, CSV et DSE-AUDITS ; lecture seule, sans correction automatique.";"AUDIT";"";"";"PRODUCTION";"1.0.1";"/sites/Bibliotheque/DSEOUTILS/SCRIPTS/AUDITS/DSE-AUDIT-001-MVP-PNP.ps1";"OUI";"";"";"";"Oui";"Non";"Fichier physique vérifié dans DSE-OUTILS. Journalisation OBJ-JRN implémentée dans le script.";"";"";"Fichier physique vérifié dans DSE-OUTILS. Journalisation OBJ-JRN implémentée dans le script.";"";"";"";"";"";"";"";"09/13/2026 08:03:36";"09/13/2026 08:03:36";"";""
"10";"DSE-AUDIT-002-GOUVERNANCE-PNP";"DSE-AUDIT-002-GOUVERNANCE-PNP";"DSE-AUDIT-002-GOUVERNANCE-PNP";"Audit LIGHT de gouvernance de OBJ-LST ; rapport CSV vers DSE-AUDITS et journalisation OBJ-JRN ; lecture seule.";"AUDIT";"";"";"BROUILLON";"";"/sites/Bibliotheque/DSEOUTILS/SCRIPTS/AUDITS/DSE-AUDIT-002-GOUVERNANCE-PNP.ps1";"OUI";"";"";"";"Oui";"Non";"Fichier physique vérifié dans DSE-OUTILS. Version et métadonnées de bibliothèque non renseignées ; script actif homonyme retrouvé dans la corbeille.";"";"";"Fichier physique vérifié dans DSE-OUTILS. Version et métadonnées de bibliothèque non renseignées ; script actif homonyme retrouvé dans la corbeille.";"";"";"";"";"";"";"";"09/13/2026 08:03:36";"09/13/2026 08:03:36";"";""
